,weight,score,udstatus,tradestatus,amt
000001.SZ,0.0,-5167.0,0.0,4,1092263437.0
000002.SZ,0.0,-5167.0,0.0,4,2070645596.0
000004.SZ,0.0,-5167.0,0.0,4,8638276.0
000005.SZ,0.0,-5167.0,0.0,4,7988637.0
000006.SZ,0.0,-5167.0,0.0,4,63216060.0
000007.SZ,0.0,-5167.0,0.0,4,15406532.0
000008.SZ,0.0,-5167.0,0.0,4,39484919.0
000009.SZ,0.0,-5167.0,0.0,4,143266084.0
000010.SZ,0.0,-5167.0,0.0,4,20847061.0
000011.SZ,0.0,-5167.0,0.0,4,31003063.0
000012.SZ,0.0,-5167.0,0.0,4,138595814.0
000014.SZ,0.0,-5167.0,0.0,4,41779081.0
000016.SZ,0.0,-5167.0,0.0,4,146653980.0
000017.SZ,0.0,-5167.0,0.0,4,19280122.0
000019.SZ,0.0,-5167.0,0.0,4,38470955.0
000020.SZ,0.0,-5167.0,0.0,4,13479609.0
000021.SZ,0.0,-5167.0,1.0,4,2840625234.0
000023.SZ,0.0,-5167.0,0.0,4,7875588.0
000025.SZ,0.0,-5167.0,0.0,4,80370613.0
000026.SZ,0.0,-5167.0,0.0,4,29869720.0
000027.SZ,0.0,-5167.0,0.0,4,56377076.0
000028.SZ,0.0,-5167.0,0.0,4,211862402.0
000029.SZ,0.0,-5167.0,0.0,4,26345290.0
000030.SZ,0.0,-5167.0,0.0,4,19664276.0
000031.SZ,0.0,-5167.0,0.0,4,86804070.0
000032.SZ,0.0,-5167.0,0.0,4,807986809.0
000034.SZ,0.0,-5167.0,0.0,4,1527829902.0
000035.SZ,0.0,-5167.0,0.0,4,67654936.0
000036.SZ,0.0,-5167.0,0.0,4,11948095.0
000037.SZ,0.0,-5167.0,0.0,4,22858282.0
000038.SZ,0.0,-5167.0,0.0,4,17988426.0
000039.SZ,0.0,-5167.0,0.0,4,251593721.0
000040.SZ,0.0,-5167.0,0.0,4,48468846.0
000042.SZ,0.0,-5167.0,0.0,4,15923623.0
000045.SZ,0.0,-5167.0,0.0,4,160867302.0
000046.SZ,0.0,-5167.0,0.0,4,35780493.0
000048.SZ,0.0,-5167.0,0.0,4,330941105.0
000049.SZ,0.0,-5167.0,0.0,4,219558263.0
000050.SZ,0.0,-5167.0,0.0,4,224127251.0
000055.SZ,0.0,-5167.0,0.0,4,24445201.0
000056.SZ,0.0,-5167.0,0.0,4,56420740.0
000058.SZ,0.0,-5167.0,0.0,4,38728405.0
000059.SZ,0.0,-5167.0,0.0,4,378777956.0
000060.SZ,0.0,-5167.0,0.0,4,299415551.0
000061.SZ,0.0,-5167.0,0.0,4,32954199.0
000062.SZ,0.0,-5167.0,0.0,4,109815658.0
000063.SZ,0.0,-5167.0,0.0,4,3260874841.0
000065.SZ,0.0,-5167.0,0.0,4,542094927.0
000066.SZ,0.0,-5167.0,1.0,4,1217931703.0
000068.SZ,0.0,-5167.0,0.0,4,22769978.0
000069.SZ,0.0,-5167.0,0.0,4,215624398.0
000070.SZ,0.0,-5167.0,0.0,4,721022616.0
000078.SZ,0.0,-5167.0,0.0,4,57200559.0
000088.SZ,0.0,-5167.0,0.0,4,43126271.0
000089.SZ,0.0,-5167.0,0.0,4,80659707.0
000090.SZ,0.0,-5167.0,0.0,4,87490615.0
000096.SZ,0.0,-5167.0,0.0,4,10831293.0
000099.SZ,0.0,-5167.0,0.0,4,69530969.0
000100.SZ,0.0,-5167.0,0.0,4,684915539.0
000150.SZ,0.0,-5167.0,-1.0,4,29927848.0
000151.SZ,0.0,-5167.0,0.0,4,137056244.0
