,weight,score,udstatus,tradestatus,amt
000001.SZ,0.0,-5938.0,0.0,4,817726527.0
000002.SZ,0.0,-5938.0,0.0,4,1831317073.0
000004.SZ,0.0,-5938.0,0.0,4,38167182.0
000005.SZ,0.0,-5938.0,0.0,4,5198477.0
000006.SZ,0.0,-5938.0,0.0,4,99902902.0
000007.SZ,0.0,-5938.0,0.0,4,18449245.0
000008.SZ,0.0,-5938.0,0.0,4,52332599.0
000009.SZ,0.0,-5938.0,0.0,4,196874480.0
000010.SZ,0.0,-5938.0,0.0,4,34954992.0
000011.SZ,0.0,-5938.0,0.0,4,45489142.0
000012.SZ,0.0,-5938.0,0.0,4,104790385.0
000014.SZ,0.0,-996.0,0.0,4,37756471.0
000016.SZ,0.0,-5938.0,0.0,4,250581679.0
000017.SZ,0.0,-5938.0,0.0,4,29658642.0
000019.SZ,0.0,-5938.0,0.0,4,43149955.0
000020.SZ,0.0,-5938.0,0.0,4,18362100.0
000021.SZ,0.0,-5938.0,1.0,4,5136532891.0
000023.SZ,0.0,-5938.0,0.0,4,24877867.0
000025.SZ,0.0,-5938.0,0.0,4,93290927.0
000026.SZ,0.0,-5938.0,0.0,4,38485160.0
000027.SZ,0.0,-5938.0,0.0,4,85935252.0
000028.SZ,0.0,-5938.0,0.0,4,361370992.0
000029.SZ,0.0,-5938.0,0.0,4,58527458.0
000030.SZ,0.0,-5938.0,0.0,4,25483169.0
000031.SZ,0.0,-5938.0,0.0,4,75350018.0
000032.SZ,0.0,-5938.0,1.0,4,1982102069.0
000034.SZ,0.0,-996.0,0.0,4,1696738620.0
000035.SZ,0.0,-5938.0,0.0,4,125602136.0
000036.SZ,0.0,-5938.0,0.0,4,19968690.0
000037.SZ,0.0,-5938.0,0.0,4,38132497.0
000038.SZ,0.0,-996.0,0.0,4,16905242.0
000039.SZ,0.0,-5938.0,0.0,4,94975854.0
000040.SZ,0.0,-5938.0,0.0,4,69516857.0
000042.SZ,0.0,-5938.0,0.0,4,38640276.0
000045.SZ,0.0,-5938.0,0.0,4,137396006.0
000046.SZ,0.0,-5938.0,0.0,4,53713063.0
000048.SZ,0.0,-996.0,0.0,4,287665611.0
000049.SZ,0.0,-5938.0,0.0,4,362970355.0
000050.SZ,0.0,-5938.0,0.0,4,297774663.0
000055.SZ,0.0,-5938.0,0.0,4,32275516.0
000056.SZ,0.0,-5938.0,0.0,4,61089207.0
000058.SZ,0.0,-5938.0,0.0,4,57636112.0
000059.SZ,0.0,-5938.0,0.0,4,265205334.0
000060.SZ,0.0,-5938.0,0.0,4,149324793.0
000061.SZ,0.0,-5938.0,0.0,4,50984303.0
000062.SZ,0.0,-5938.0,0.0,4,140047965.0
000063.SZ,0.0,-5938.0,0.0,4,4804913183.0
000065.SZ,0.0,-5938.0,0.0,4,1336539889.0
000066.SZ,0.0,-5938.0,0.0,4,2239695378.0
000068.SZ,0.0,-5938.0,0.0,4,33008294.0
000069.SZ,0.0,-5938.0,0.0,4,173122790.0
000070.SZ,0.0,-5938.0,0.0,4,990891710.0
000078.SZ,0.0,-5938.0,0.0,4,41295128.0
000088.SZ,0.0,-5938.0,0.0,4,36826709.0
000089.SZ,0.0,-5938.0,0.0,4,127063538.0
000090.SZ,0.0,-5938.0,0.0,4,115752115.0
000096.SZ,0.0,-5938.0,0.0,4,10843765.0
000099.SZ,0.0,-5938.0,0.0,4,316493950.0
000100.SZ,0.0,-5938.0,0.0,4,1157733528.0
000150.SZ,0.0,-5938.0,0.0,4,21686572.0
000151.SZ,0.0,-5938.0,0.0,4,379306531.0
000153.SZ,0.0,-5938.0,0.0,4,37349385.0
000155.SZ,0.0,-72.0,0.0,4,248371724.0
000156.SZ,0.0,-5938.0,0.0,4,88677690.0
000157.SZ,0.0,-5938.0,0.0,4,216378533.0
000158.SZ,0.0,-5938.0,0.0,4,1891159599.0
000159.SZ,0.0,-298.0,0.0,4,128898840.0
000166.SZ,0.0,-5938.0,0.0,4,265538533.0
000301.SZ,0.0,-5938.0,0.0,4,393278162.0
000333.SZ,0.0,-5938.0,0.0,4,975597257.0
000338.SZ,0.0,-5938.0,0.0,4,520096450.0
000400.SZ,0.0,-5938.0,0.0,4,1135413129.0
000401.SZ,0.0,-5938.0,0.0,4,58733071.0
000402.SZ,0.0,-5938.0,0.0,4,61027762.0
000403.SZ,0.0,-996.0,0.0,4,188423920.0
000404.SZ,0.0,-5938.0,0.0,4,121092976.0
000407.SZ,0.0,-5938.0,0.0,4,33134186.0
000408.SZ,0.0,-996.0,0.0,4,139631294.0
000409.SZ,0.0,-5938.0,0.0,4,552968040.0
000410.SZ,0.0,-5938.0,0.0,4,15050026.0
000411.SZ,0.0,-5938.0,0.0,4,37031233.0
000413.SZ,0.0,-5938.0,0.0,4,42502562.0
000415.SZ,0.0,-5938.0,0.0,4,38790073.0
000416.SZ,0.0,-5938.0,0.0,4,46638796.0
000417.SZ,0.0,-5938.0,0.0,4,41978932.0
000419.SZ,0.0,-5938.0,0.0,4,46516473.0
000420.SZ,0.0,-5938.0,0.0,4,139937058.0
000421.SZ,0.0,-5938.0,0.0,4,19959245.0
000422.SZ,0.0,-5938.0,0.0,4,148095549.0
000423.SZ,0.0,-996.0,0.0,4,580593990.0
000425.SZ,0.0,-5938.0,0.0,4,465554345.0
000426.SZ,0.0,-5938.0,0.0,4,135222764.0
000428.SZ,0.0,-5938.0,0.0,4,205448035.0
000429.SZ,0.0,-5938.0,0.0,4,33104867.0
000430.SZ,0.0,-5938.0,0.0,4,127084747.0
000488.SZ,0.0,-5938.0,0.0,4,56635281.0
000498.SZ,0.0,-5938.0,0.0,4,167783520.0
000501.SZ,0.0,-5938.0,0.0,4,120389259.0
000503.SZ,0.0,-5938.0,1.0,4,549774450.0
000504.SZ,0.0,-5938.0,0.0,4,38574012.0
000505.SZ,0.0,-5938.0,0.0,4,68492456.0
000506.SZ,0.0,-5938.0,0.0,4,1091265382.0
000507.SZ,0.0,-5938.0,0.0,4,55819973.0
000509.SZ,0.0,-5938.0,0.0,4,30592482.0
000510.SZ,0.0,-5938.0,0.0,4,81633045.0
000513.SZ,0.0,-5938.0,0.0,4,272143320.0
000514.SZ,0.0,-5938.0,0.0,4,30771465.0
000516.SZ,0.0,-5938.0,0.0,4,231495484.0
000517.SZ,0.0,-5938.0,0.0,4,42040309.0
000518.SZ,0.0,-5938.0,0.0,4,27538927.0
000519.SZ,0.0,-298.0,0.0,4,943095287.0
000520.SZ,0.0,-5938.0,0.0,4,27627721.0
000521.SZ,0.0,-996.0,0.0,4,131411244.0
000523.SZ,0.0,-5938.0,0.0,4,32305558.0
000524.SZ,0.0,-5938.0,0.0,4,109060910.0
000525.SZ,0.0,-996.0,0.0,4,95134432.0
000526.SZ,0.0,-5938.0,0.0,4,51355395.0
000528.SZ,0.0,-5938.0,0.0,4,50051608.0
000529.SZ,0.0,-996.0,0.0,4,103309726.0
000530.SZ,0.0,-5938.0,0.0,4,49952557.0
000531.SZ,0.0,-5938.0,0.0,4,21600723.0
000532.SZ,0.0,-5938.0,0.0,4,34045424.0
000533.SZ,0.0,-298.0,0.0,4,45564542.0
000534.SZ,0.0,-996.0,0.0,4,86464741.0
000536.SZ,0.0,-5938.0,0.0,4,48807536.0
000537.SZ,0.0,-996.0,0.0,4,271865333.0
000538.SZ,0.0,-5938.0,0.0,4,455023379.0
000539.SZ,0.0,-5938.0,0.0,4,280771937.0
000540.SZ,0.0,-5938.0,0.0,4,63189629.0
000541.SZ,0.0,-5938.0,0.0,4,56300068.0
000543.SZ,0.0,-996.0,0.0,4,146388009.0
000544.SZ,0.0,-5938.0,0.0,4,37650698.0
000545.SZ,0.0,-5938.0,0.0,4,19256712.0
000546.SZ,0.0,-5938.0,0.0,4,198457065.0
000547.SZ,0.0,-5938.0,0.0,4,716415101.0
000548.SZ,0.0,-5938.0,0.0,4,38689891.0
000550.SZ,0.0,-5938.0,0.0,4,51820581.0
000551.SZ,0.0,-5938.0,0.0,4,33837438.0
000552.SZ,0.0,-996.0,0.0,4,77079587.0
000553.SZ,0.0,-996.0,0.0,4,66676525.0
000554.SZ,0.0,-5938.0,0.0,4,87904575.0
000555.SZ,0.0,-5938.0,0.0,4,554267756.0
000557.SZ,0.0,-5938.0,0.0,4,171747813.0
000558.SZ,0.0,-5938.0,0.0,4,38572702.0
000559.SZ,0.0,-5938.0,0.0,4,60778963.0
