,weight,score,udstatus,tradestatus,amt
000001.SZ,0.0,-5943.0,0.0,4,767354797.0
000002.SZ,0.0,-5943.0,0.0,4,3505357547.0
000004.SZ,0.0,-5943.0,0.0,4,16484727.0
000005.SZ,0.0,-5943.0,0.0,4,4826884.0
000006.SZ,0.0,-5943.0,0.0,4,176811756.0
000007.SZ,0.0,-5943.0,0.0,4,15623145.0
000008.SZ,0.0,-5943.0,0.0,4,29108946.0
000009.SZ,0.0,-5943.0,0.0,4,160322526.0
000010.SZ,0.0,-5943.0,0.0,4,42548326.0
000011.SZ,0.0,-5943.0,0.0,4,73196861.0
000012.SZ,0.0,-5943.0,0.0,4,72967545.0
000014.SZ,0.0,-1198.0,0.0,4,112176783.0
000016.SZ,0.0,-5943.0,0.0,4,201419516.0
000017.SZ,0.0,-5943.0,0.0,4,40615506.0
000019.SZ,0.0,-5943.0,0.0,4,48954099.0
000020.SZ,0.0,-5943.0,0.0,4,13561944.0
000021.SZ,0.0,-5943.0,0.0,4,4045389592.0
000023.SZ,0.0,-5943.0,0.0,4,16501022.0
000025.SZ,0.0,-5943.0,0.0,4,69294946.0
000026.SZ,0.0,-5943.0,0.0,4,44437190.0
000027.SZ,0.0,-5943.0,0.0,4,52101748.0
000028.SZ,0.0,-5943.0,0.0,4,127156719.0
000029.SZ,0.0,-5943.0,0.0,4,56295973.0
000030.SZ,0.0,-5943.0,0.0,4,15872595.0
000031.SZ,0.0,-5943.0,0.0,4,221978986.0
000032.SZ,0.0,-5943.0,0.0,4,2033622872.0
000034.SZ,0.0,-1198.0,0.0,4,971239564.0
000035.SZ,0.0,-5943.0,0.0,4,51975203.0
000036.SZ,0.0,-5943.0,0.0,4,31682391.0
000037.SZ,0.0,-5943.0,0.0,4,29483491.0
000038.SZ,0.0,-1198.0,0.0,4,17624250.0
000039.SZ,0.0,-5943.0,0.0,4,53521368.0
000040.SZ,0.0,-5943.0,0.0,4,35094735.0
000042.SZ,0.0,-5943.0,0.0,4,48396304.0
000045.SZ,0.0,-5943.0,0.0,4,97229306.0
000046.SZ,0.0,-5943.0,0.0,4,66269279.0
000048.SZ,0.0,-1198.0,0.0,4,183525990.0
000049.SZ,0.0,-5943.0,0.0,4,191684746.0
000050.SZ,0.0,-5943.0,0.0,4,217784666.0
000055.SZ,0.0,-5943.0,0.0,4,34358795.0
000056.SZ,0.0,-5943.0,0.0,4,45575959.0
