,weight,score,udstatus,tradestatus,amt
000518.SZ,0.0,-5940.0,0.0,4,17642978.0
000519.SZ,0.0,-462.0,0.0,4,993083341.0
000520.SZ,0.0,-5940.0,0.0,4,21627457.0
000521.SZ,0.0,-1137.0,0.0,4,97467533.0
000523.SZ,0.0,-5940.0,0.0,4,20658956.0
000524.SZ,0.0,-5940.0,0.0,4,67018831.0
000525.SZ,0.0,-1137.0,0.0,4,57653664.0
000526.SZ,0.0,-5940.0,0.0,4,43571095.0
000528.SZ,0.0,-5940.0,0.0,4,48084618.0
000529.SZ,0.0,-1137.0,0.0,4,88101314.0
000530.SZ,0.0,-5940.0,0.0,4,32692979.0
000531.SZ,0.0,-5940.0,0.0,4,17470231.0
000532.SZ,0.0,-5940.0,0.0,4,31456750.0
000533.SZ,0.0,-97.0,0.0,4,24738972.0
000534.SZ,0.0,-1137.0,0.0,4,79575054.0
000536.SZ,0.0,-5940.0,0.0,4,106394645.0
000537.SZ,0.0,-1137.0,0.0,4,97194119.0
000538.SZ,0.0,-5940.0,0.0,4,400484283.0
000539.SZ,0.0,-5940.0,0.0,4,327910620.0
000540.SZ,0.0,-5940.0,0.0,4,111684078.0
000541.SZ,0.0,-5940.0,0.0,4,52768443.0
000543.SZ,0.0,-1137.0,0.0,4,80432227.0
000544.SZ,0.0,-5940.0,0.0,4,25701420.0
000545.SZ,0.0,-5940.0,0.0,4,11413167.0
000546.SZ,0.0,-5940.0,0.0,4,102128746.0
000547.SZ,0.0,-5940.0,0.0,4,452602646.0
000548.SZ,0.0,-5940.0,0.0,4,47839519.0
000550.SZ,0.0,-5940.0,0.0,4,46480810.0
000551.SZ,0.0,-5940.0,0.0,4,29243878.0
000552.SZ,0.0,-1137.0,0.0,4,71383634.0
000553.SZ,0.0,-1137.0,0.0,4,53792975.0
000554.SZ,0.0,-5940.0,0.0,4,63028754.0
000555.SZ,0.0,-5940.0,0.0,4,424103881.0
000557.SZ,0.0,-5940.0,0.0,4,62703374.0
000558.SZ,0.0,-5940.0,0.0,4,27012019.0
000559.SZ,0.0,-5940.0,0.0,4,47735137.0
000560.SZ,0.0,-5940.0,1.0,4,340696570.0
000561.SZ,0.0,-5940.0,0.0,4,76587842.0
000563.SZ,0.0,-5940.0,0.0,4,59649087.0
000564.SZ,0.0,-5940.0,0.0,4,175655049.0
000565.SZ,0.0,-5940.0,0.0,4,22330696.0
000566.SZ,0.0,-5940.0,0.0,4,485511490.0
000567.SZ,0.0,-462.0,0.0,4,91487300.0
000568.SZ,0.0,-5940.0,0.0,4,1611933679.0
000570.SZ,0.0,-5940.0,0.0,4,25799464.0
000571.SZ,0.0,-5940.0,0.0,4,26871212.0
000572.SZ,0.0,-5940.0,0.0,4,109806569.0
000573.SZ,0.0,-5940.0,0.0,4,44936990.0
000576.SZ,0.0,-97.0,0.0,4,117482692.0
000581.SZ,0.0,-5940.0,0.0,4,257982516.0
000582.SZ,0.0,-5940.0,0.0,4,131118482.0
000584.SZ,0.0,-5940.0,0.0,4,187340137.0
000586.SZ,0.0,-5940.0,0.0,4,116225376.0
000587.SZ,0.0,-5940.0,,0,
000589.SZ,0.0,-5940.0,0.0,4,79097848.0
000590.SZ,0.0,-5940.0,0.0,4,28131346.0
000591.SZ,0.0,-5940.0,0.0,4,155186798.0
000592.SZ,0.0,-5940.0,0.0,4,39920202.0
000593.SZ,0.0,-5940.0,0.0,4,49001770.0
000595.SZ,0.0,-5940.0,0.0,4,87214016.0
000596.SZ,0.0,-5940.0,0.0,4,393204723.0
000597.SZ,0.0,-1137.0,0.0,4,54360244.0
000598.SZ,0.0,-5940.0,0.0,4,79176802.0
000599.SZ,0.0,-5940.0,0.0,4,26126222.0
000600.SZ,0.0,-5940.0,0.0,4,48842039.0
000601.SZ,0.0,-5940.0,0.0,4,18608494.0
000603.SZ,0.0,-5940.0,0.0,4,353225079.0
000605.SZ,0.0,-5940.0,0.0,4,22936946.0
000606.SZ,0.0,-5940.0,0.0,4,6839415.0
000607.SZ,0.0,-5940.0,0.0,4,163944916.0
000608.SZ,0.0,-5940.0,0.0,4,20177810.0
000609.SZ,0.0,-5940.0,0.0,4,27351309.0
000610.SZ,0.0,-5940.0,0.0,4,344370860.0
000612.SZ,0.0,-5940.0,0.0,4,37268993.0
000615.SZ,0.0,-5940.0,0.0,4,197432067.0
000616.SZ,0.0,-5940.0,0.0,4,16744919.0
000617.SZ,0.0,-5940.0,0.0,4,3532534843.0
000619.SZ,0.0,-5940.0,0.0,4,29924963.0
000620.SZ,0.0,-5940.0,0.0,4,88241111.0
000622.SZ,0.0,-5940.0,0.0,4,46722405.0
000623.SZ,0.0,-5940.0,0.0,4,119231769.0
000625.SZ,0.0,-462.0,0.0,4,813704996.0
000626.SZ,0.0,-5940.0,0.0,4,30889131.0
000627.SZ,0.0,-5940.0,0.0,4,90647422.0
000628.SZ,0.0,-5940.0,0.0,4,74899504.0
000629.SZ,0.0,-5940.0,0.0,4,270409272.0
000630.SZ,0.0,-5940.0,0.0,4,372891024.0
000631.SZ,0.0,-1137.0,0.0,4,32497946.0
000632.SZ,0.0,-5940.0,0.0,4,37074107.0
000633.SZ,0.0,-5940.0,0.0,4,54501662.0
000635.SZ,0.0,-5940.0,0.0,4,34526902.0
