,weight,score,udstatus,tradestatus,amt,no_sell,no_buy,rank,w_lim,tgt_pos,tgt_trade,w_buy,w_sell
000155.SZ,0.004202894806853875,0.0,0.0,4,248371724.0,False,False,1,0.019901736969094506,0.01,0.005797105193146125,0.005797105193146125,0.0
000576.SZ,0.011828124498992058,-2.0,0.0,4,169613241.0,False,False,2,0.013590911455193007,0.01,-0.0018281244989920582,0.0,-0.0018281244989920582
000726.SZ,0.0012119484351648675,-4.0,0.0,4,40490691.0,False,False,3,0.0032444719108962747,0.004456420346061142,0.0032444719108962747,0.0032444719108962747,0.0
000922.SZ,0.0017372369009002885,-6.0,0.0,4,92731424.0,False,False,4,0.007430461002145225,0.009167697903045514,0.007430461002145226,0.007430461002145226,0.0
002045.SZ,0.016867136205494723,-8.0,0.0,4,1301315319.0,False,False,5,0.10427288088796818,0.01,-0.006867136205494723,0.0,-0.006867136205494723
002046.SZ,0.008602277458526755,-10.0,0.0,4,80653011.0,False,False,6,0.0064626318360115976,0.01,0.0013977225414732453,0.0013977225414732453,0.0
002073.SZ,-0.0004500269617206676,-12.0,0.0,4,136900857.0,False,False,7,0.01096970622492285,0.01,0.010450026961720668,0.010450026961720668,0.0
002079.SZ,0.02425322994632732,-14.0,0.0,4,1069480783.0,False,False,8,0.08569624953268529,0.01,-0.01425322994632732,0.0,-0.01425322994632732
002090.SZ,0.00020185994583011584,-16.0,0.0,4,164128594.0,False,False,9,0.013151433078973604,0.01,0.009798140054169884,0.009798140054169884,0.0
002111.SZ,0.0014522637080582525,-18.0,0.0,4,41411191.0,False,False,10,0.0033182305038029756,0.004770494211861228,0.003318230503802976,0.003318230503802976,0.0
002126.SZ,0.0,-20.0,0.0,4,392940343.0,False,False,11,0.03148585203254367,0.01,0.01,0.01,0.0
002213.SZ,0.007141609787266595,-22.0,0.0,4,156896043.0,False,False,12,0.012571897190993211,0.01,0.0028583902127334053,0.0028583902127334053,0.0
002219.SZ,0.0,-24.0,0.0,4,97176998.0,False,False,13,0.007786679669068218,0.007786679669068218,0.007786679669068218,0.007786679669068218,0.0
002240.SZ,-0.0018587666514661072,-26.0,0.0,4,460125258.0,False,False,14,0.03686930102217573,0.009999999999999998,0.011858766651466107,0.011858766651466107,0.0
002267.SZ,0.000947265116654307,-28.0,0.0,4,34820071.0,False,False,15,0.0027900917347869897,0.0037373568514412966,0.0027900917347869897,0.0027900917347869897,0.0
002429.SZ,0.00409479883181485,-30.0,0.0,4,114418871.0,False,False,16,0.009168250871193193,0.01,0.00590520116818515,0.00590520116818515,0.0
002518.SZ,0.03943639042233341,-32.0,0.0,4,1748665924.0,False,False,17,0.14011856384371113,0.010000000000000002,-0.02943639042233341,0.0,-0.02943639042233341
002572.SZ,0.00626635955625025,-34.0,0.0,4,221919242.0,False,False,18,0.017782130395265244,0.01,0.0037336404437497504,0.0037336404437497504,0.0
002583.SZ,-0.0057825641380101385,-36.0,0.0,4,249287660.0,False,False,19,0.01997512985399683,0.009999999999999998,0.015782564138010137,0.015782564138010137,0.0
002590.SZ,-0.0023160575894149386,-38.0,0.0,4,70534848.0,False,False,20,0.005651875219302587,0.0033358176298876486,0.005651875219302587,0.005651875219302587,0.0
002624.SZ,-0.012379134287841148,-40.0,0.0,4,3338420881.0,False,False,21,0.2675037769830625,0.01,0.02237913428784115,0.02237913428784115,0.0
002774.SZ,0.0002701181884375998,-42.0,0.0,4,21637078.0,False,False,22,0.001733753859742027,0.002003872048179627,0.001733753859742027,0.001733753859742027,0.0
002882.SZ,0.01717331261251635,-44.0,0.0,4,312044594.0,False,False,23,0.025003769883305577,0.01,-0.0071733126125163495,0.0,-0.0071733126125163495
002982.SZ,-0.0007326884347227118,-46.0,0.0,4,107761806.0,False,False,24,0.008634828006132413,0.007902139571409702,0.008634828006132413,0.008634828006132413,0.0
002986.SZ,0.002293066912986021,-48.0,0.0,4,28462344.0,False,False,25,0.0022806544750314864,0.004573721388017507,0.0022806544750314864,0.0022806544750314864,0.0
300054.SZ,0.018608095597889222,-50.0,0.0,4,429213354.0,False,False,26,0.034392366157312046,0.01,-0.008608095597889222,0.0,-0.008608095597889222
300057.SZ,0.0003444971511355349,-52.0,0.0,4,117482586.0,False,False,27,0.00941374278587777,0.009758239937013306,0.00941374278587777,0.00941374278587777,0.0
300062.SZ,0.001579883521609061,-54.0,0.0,4,107160761.0,False,False,28,0.008586666970311003,0.01,0.00842011647839094,0.00842011647839094,0.0
300105.SZ,0.0,-56.0,0.0,4,78222595.0,False,False,29,0.006267885432602653,0.006267885432602653,0.006267885432602653,0.006267885432602653,0.0
300160.SZ,-0.002984783297175186,-58.0,0.0,4,93653222.0,False,False,30,0.007504323602280165,0.004519540305104979,0.007504323602280165,0.007504323602280165,0.0
300298.SZ,0.0027030468086285597,-60.0,0.0,4,189713948.0,False,False,31,0.015201557696094554,0.01,0.0072969531913714405,0.0072969531913714405,0.0
300452.SZ,-0.0010247988630450078,-62.0,0.0,4,130827743.0,False,False,32,0.010483074673372622,0.009458275810327614,0.010483074673372622,0.010483074673372622,0.0
300505.SZ,0.006830833538425926,-64.0,0.0,4,88171177.0,False,False,33,0.0070650537212902514,0.01,0.0031691664615740743,0.0031691664615740743,0.0
300633.SZ,0.004887544445302884,-66.0,0.0,4,260564663.0,False,False,34,0.020878742970221322,0.01,0.0051124555546971165,0.0051124555546971165,0.0
300658.SZ,-0.0005270489156758098,-68.0,0.0,4,26953415.0,False,False,35,0.0021597457516896986,0.0016326968360138886,0.0021597457516896986,0.0021597457516896986,0.0
300666.SZ,0.03744335950128732,-70.0,0.0,4,1004403199.0,False,False,36,0.08048165852170469,0.010000000000000002,-0.027443359501287318,0.0,-0.027443359501287318
300717.SZ,-0.0004479251513204323,-72.0,0.0,4,21270736.0,False,False,37,0.0017043993019553601,0.0012564741506349278,0.0017043993019553601,0.0017043993019553601,0.0
300796.SZ,0.0011731240956993772,-74.0,0.0,4,103141000.0,False,False,38,0.008264568203139646,0.009437692298839022,0.008264568203139646,0.008264568203139646,0.0
300811.SZ,0.0,-76.0,0.0,4,84317393.0,False,False,39,0.006756254497817836,0.006756254497817836,0.006756254497817836,0.006756254497817836,0.0
300820.SZ,0.03817156253879893,-78.0,0.0,4,203279714.0,False,False,40,0.016288566725819232,0.021882995812979696,-0.016288566725819232,0.0,-0.016288566725819232
300890.SZ,-0.007331011064517847,-80.0,0.0,4,126689991.0,False,False,41,0.01015152142479371,0.002820510360275864,0.01015152142479371,0.01015152142479371,0.0
