,weight,score,udstatus,tradestatus,amt,no_sell,no_buy,rank,w_lim,tgt_pos,tgt_trade,w_buy,w_sell
300961.SZ,0.0,-5592.0,0.0,4,38412072.0,False,False,2758,0.00025060398323765336,0.0,0.0,0.0,0.0
300962.SZ,0.0,-5594.0,0.0,4,38127207.0,False,False,2759,0.00024874549709077244,0.0,0.0,0.0,0.0
300964.SZ,0.0,-5596.0,0.0,4,424667483.0,False,False,2760,0.0027705707411802326,0.0,0.0,0.0,0.0
300965.SZ,0.0,-5598.0,0.0,4,21229661.0,False,False,2761,0.00013850431211794728,0.0,0.0,0.0,0.0
300966.SZ,0.0,-5600.0,0.0,4,66445619.0,False,False,2762,0.00043349748980194306,0.0,0.0,0.0,0.0
300967.SZ,-0.0,-5602.0,0.0,4,217333939.0,False,False,2763,0.0014179071310219658,0.0,0.0,0.0,0.0
300968.SZ,0.0,-5604.0,0.0,4,45983348.0,False,False,2764,0.000299999702473826,0.0,0.0,0.0,0.0
300969.SZ,0.0,-5606.0,0.0,4,37079294.0,False,False,2765,0.00024190881377187938,0.0,0.0,0.0,0.0
300971.SZ,-0.0,-5608.0,0.0,4,77723372.0,False,False,2766,0.0005070746148206194,0.0,0.0,0.0,0.0
300973.SZ,0.0,-5610.0,0.0,4,51188053.0,False,False,2767,0.0003339556891380427,0.0,0.0,0.0,0.0
300975.SZ,0.0,-5612.0,0.0,4,53254214.0,False,False,2768,0.0003474355185159084,0.0,0.0,0.0,0.0
300976.SZ,0.0,-5614.0,0.0,4,53210616.0,False,False,2769,0.00034715108104892676,0.0,0.0,0.0,0.0
300977.SZ,0.0,-5616.0,0.0,4,63228275.0,False,False,2770,0.0004125072338780823,0.0,0.0,0.0,0.0
300978.SZ,0.0,-5618.0,0.0,4,28095736.0,False,False,2771,0.00018329923346997618,0.0,0.0,0.0,0.0
300979.SZ,0.0,-5620.0,0.0,4,99589733.0,False,False,2772,0.000649732817833268,0.0,0.0,0.0,0.0
300980.SZ,-0.0,-5622.0,0.0,4,24778820.0,False,False,2773,0.0001616593604200479,0.0,0.0,0.0,0.0
300981.SZ,-0.0,-5624.0,0.0,4,104373788.0,False,False,2774,0.0006809444441945851,0.0,0.0,0.0,0.0
300982.SZ,0.0,-5626.0,0.0,4,75605933.0,False,False,2775,0.000493260242930898,0.0,0.0,0.0,0.0
300983.SZ,-0.0,-5628.0,0.0,4,7210351.0,False,False,2776,4.70410104703958e-05,0.0,0.0,0.0,0.0
300984.SZ,-0.0,-5630.0,0.0,4,35940133.0,False,False,2777,0.00023447681988857653,0.0,0.0,0.0,0.0
300985.SZ,-0.0,-5632.0,0.0,4,194210318.0,False,False,2778,0.0012670464451032823,0.0,0.0,0.0,0.0
300986.SZ,0.0,-5634.0,0.0,4,37008814.0,False,False,2779,0.00024144899559964982,0.0,0.0,0.0,0.0
300987.SZ,0.0,-5636.0,0.0,4,138577850.0,False,False,2780,0.0009040949730207223,0.0,0.0,0.0,0.0
300988.SZ,-0.0,-5638.0,0.0,4,23829857.0,False,False,2781,0.00015546823624051516,0.0,0.0,0.0,0.0
300989.SZ,0.0,-5640.0,0.0,4,43948029.0,False,False,2782,0.0002867210892149714,0.0,0.0,0.0,0.0
300990.SZ,-0.0,-5642.0,0.0,4,68675818.0,False,False,2783,0.0004480475185744767,0.0,0.0,0.0,0.0
300991.SZ,0.0,-5644.0,0.0,4,85368926.0,False,False,2784,0.0005569549307394943,0.0,0.0,0.0,0.0
300992.SZ,0.0,-5646.0,0.0,4,11132893.0,False,False,2785,7.26320447061171e-05,0.0,0.0,0.0,0.0
300993.SZ,0.0,-5648.0,0.0,4,14981552.0,False,False,2786,9.77410592764179e-05,0.0,0.0,0.0,0.0
300994.SZ,0.0,-5650.0,0.0,4,24062132.0,False,False,2787,0.0001569836202637078,0.0,0.0,0.0,0.0
300995.SZ,-0.0,-5652.0,0.0,4,14038535.0,False,False,2788,9.158872736209622e-05,0.0,0.0,0.0,0.0
300996.SZ,0.0,-5654.0,0.0,4,165563233.0,False,False,2789,0.0010801501587184284,0.0,0.0,0.0,0.0
300997.SZ,-0.0,-5656.0,0.0,4,58980150.0,False,False,2790,0.00038479206542032623,0.0,0.0,0.0,0.0
300998.SZ,-0.0,-5658.0,0.0,4,31465259.0,False,False,2791,0.0002052823195531973,0.0,0.0,0.0,0.0
300999.SZ,-0.0,-5660.0,0.0,4,181612762.0,False,False,2792,0.0011848588007434726,0.0,0.0,0.0,0.0
301000.SZ,-0.0,-5662.0,0.0,4,9588453.0,False,False,2793,6.255597237470104e-05,0.0,0.0,0.0,0.0
301001.SZ,0.0,-5664.0,0.0,4,132778926.0,False,False,2794,0.0008662622455153583,0.0,0.0,0.0,0.0
301002.SZ,0.0,-5666.0,0.0,4,30009093.0,False,False,2795,0.0001957821551294911,0.0,0.0,0.0,0.0
301003.SZ,0.0,-5668.0,0.0,4,14347165.0,False,False,2796,9.36022586120282e-05,0.0,0.0,0.0,0.0
301005.SZ,-0.0,-5670.0,0.0,4,19106745.0,False,False,2797,0.00012465420776328122,0.0,0.0,0.0,0.0
301006.SZ,-0.0,-5672.0,0.0,4,25889808.0,False,False,2798,0.00016890755099225225,0.0,0.0,0.0,0.0
301007.SZ,0.0,-5674.0,0.0,4,18370943.0,False,False,2799,0.00011985376606687308,0.0,0.0,0.0,0.0
301008.SZ,0.0,-5676.0,0.0,4,16230522.0,False,False,2800,0.00010588945744000387,0.0,0.0,0.0,0.0
301009.SZ,0.0,-5678.0,0.0,4,23693902.0,False,False,2801,0.0001545812529884512,0.0,0.0,0.0,0.0
301010.SZ,0.0,-5680.0,0.0,4,99233221.0,False,False,2802,0.0006474068998960106,0.0,0.0,0.0,0.0
301011.SZ,0.0,-5682.0,0.0,4,47222512.0,False,False,2803,0.00030808412536787616,0.0,0.0,0.0,0.0
301012.SZ,0.0,-5684.0,0.0,4,92318482.0,False,False,2804,0.0006022944900148476,0.0,0.0,0.0,0.0
301013.SZ,0.0,-5686.0,0.0,4,60639680.0,False,False,2805,0.00039561899577447067,0.0,0.0,0.0,0.0
301015.SZ,-0.0,-5688.0,0.0,4,27971834.0,False,False,2806,0.00018249088512753032,0.0,0.0,0.0,0.0
301016.SZ,-0.0,-5690.0,0.0,4,15306584.0,False,False,2807,9.986159872244677e-05,0.0,0.0,0.0,0.0
301018.SZ,-0.0,-5692.0,0.0,4,299856258.0,False,False,2808,0.001956290529017478,0.0,0.0,0.0,0.0
301019.SZ,0.0,-5694.0,0.0,4,7504137.0,False,False,2809,4.895769806328215e-05,0.0,0.0,0.0,0.0
301020.SZ,-0.0,-5696.0,0.0,4,20321592.0,False,False,2810,0.00013257998425418008,0.0,0.0,0.0,0.0
301021.SZ,-0.0,-5698.0,0.0,4,104768154.0,False,False,2811,0.0006835173252006788,0.0,0.0,0.0,0.0
301022.SZ,-0.0,-5700.0,0.0,4,7350035.0,False,False,2812,4.795232207042009e-05,0.0,0.0,0.0,0.0
