,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000055.SZ,0.010193114544269148,0.0,0.0,4,39795322.0,0.01,1,-0.00019311454426914829,0.01
000159.SZ,0.010001274245080289,-2.0,0.0,4,87836671.0,0.01,2,-1.274245080288422e-06,0.02
000166.SZ,0.0,-4.0,0.0,4,537888580.0,0.01,3,0.01,0.03
000403.SZ,0.0,-6.0,0.0,4,118442625.0,0.01,4,0.01,0.04
000409.SZ,0.0,-8.0,0.0,4,186707284.0,0.01,5,0.01,0.05
000423.SZ,0.010003328082231911,-10.0,0.0,4,232723578.0,0.01,6,-3.3280822319108755e-06,0.060000000000000005
000519.SZ,0.009986147751776689,-12.0,0.0,4,689812025.0,0.01,7,1.3852248223311658e-05,0.07
000521.SZ,0.011181062569093856,-14.0,0.0,4,813680953.0,0.01,8,-0.0011810625690938555,0.08
000525.SZ,0.0,-16.0,0.0,4,82500006.0,0.01,9,0.01,0.09
000529.SZ,0.01036042576770518,-18.0,0.0,4,57832696.0,0.01,10,-0.00036042576770517996,0.09999999999999999
000531.SZ,0.0,-20.0,0.0,4,31446623.0,0.01,11,0.01,0.10999999999999999
000534.SZ,0.010078154605684987,-22.0,0.0,4,45528793.0,0.01,12,-7.815460568498696e-05,0.11999999999999998
000537.SZ,0.010123298690905056,-24.0,0.0,4,142796727.0,0.01,13,-0.00012329869090505624,0.12999999999999998
000539.SZ,0.01024037782692992,-26.0,0.0,4,100119698.0,0.01,14,-0.00024037782692992032,0.13999999999999999
000543.SZ,0.010246574934779398,-28.0,0.0,4,323459959.0,0.01,15,-0.0002465749347793974,0.15
000552.SZ,0.01013333088165346,-30.0,0.0,4,94050023.0,0.01,16,-0.00013333088165345952,0.16
000567.SZ,0.0100303718961774,-32.0,0.0,4,68946801.0,0.01,17,-3.0371896177399174e-05,0.17
000600.SZ,0.010263655129096648,-34.0,0.0,4,172001930.0,0.01,18,-0.0002636551290966481,0.18000000000000002
000625.SZ,0.009970594831564754,-36.0,0.0,4,893273384.0,0.01,19,2.9405168435246362e-05,0.19000000000000003
000663.SZ,0.010104188790615556,-38.0,0.0,4,26857232.0,0.01,20,-0.00010418879061555551,0.20000000000000004
000686.SZ,0.010283892917896704,-40.0,0.0,4,1461779997.0,0.01,21,-0.00028389291789670396,0.21000000000000005
000700.SZ,0.009927866210736864,-42.0,0.0,4,44122647.0,0.01,22,7.213378926313602e-05,0.22000000000000006
000729.SZ,0.010117888606680588,-44.0,0.0,4,239733799.0,0.01,23,-0.00011788860668058773,0.23000000000000007
000733.SZ,0.009941418643539389,-46.0,0.0,4,363371732.0,0.01,24,5.8581356460611286e-05,0.24000000000000007
000762.SZ,0.009902680595456926,-48.0,0.0,4,415840759.0,0.01,25,9.731940454307461e-05,0.25000000000000006
000811.SZ,0.0,-50.0,0.0,4,212091021.0,0.01,26,0.01,0.26000000000000006
000821.SZ,0.009833301861578327,-52.0,0.0,4,615818283.0,0.01,27,0.00016669813842167328,0.2700000000000001
000822.SZ,0.010047875865154583,-54.0,0.0,4,81391439.0,0.01,28,-4.78758651545827e-05,0.2800000000000001
000829.SZ,0.0,-56.0,0.0,4,524671708.0,0.01,29,0.01,0.2900000000000001
000831.SZ,0.0,-58.0,0.0,4,1704377377.0,0.01,30,0.01,0.3000000000000001
000863.SZ,0.01009293651463555,-60.0,0.0,4,153545806.0,0.01,31,-9.293651463554951e-05,0.3100000000000001
000875.SZ,0.010061953143463614,-62.0,0.0,4,64683931.0,0.01,32,-6.195314346361426e-05,0.3200000000000001
000892.SZ,0.010932782354696054,-64.0,0.0,4,276355862.0,0.01,33,-0.0009327823546960538,0.3300000000000001
000893.SZ,0.010029501148348144,-66.0,0.0,4,141006040.0,0.01,34,-2.950114834814402e-05,0.34000000000000014
000899.SZ,0.010084548826964213,-68.0,0.0,4,57324168.0,0.01,35,-8.454882696421265e-05,0.35000000000000014
000906.SZ,0.009913992746811078,-70.0,0.0,4,105446416.0,0.01,36,8.600725318892201e-05,0.36000000000000015
000913.SZ,0.0,-72.0,0.0,4,129095673.0,0.01,37,0.01,0.37000000000000016
000921.SZ,0.010525586856578555,-74.0,0.0,4,704978316.0,0.01,38,-0.0005255868565785544,0.38000000000000017
000937.SZ,0.010387798860022907,-76.0,0.0,4,274516173.0,0.01,39,-0.000387798860022907,0.3900000000000002
000957.SZ,0.0,-78.0,0.0,4,118890296.0,0.01,40,0.01,0.4000000000000002
000966.SZ,0.01011316854738382,-80.0,0.0,4,243447291.0,0.01,41,-0.00011316854738381912,0.4100000000000002
000968.SZ,0.010168070036351094,-82.0,0.0,4,42112041.0,0.01,42,-0.00016807003635109334,0.4200000000000002
000972.SZ,0.00991910608908493,-84.0,0.0,4,113180361.0,0.01,43,8.089391091506935e-05,0.4300000000000002
000983.SZ,0.01003281579528191,-86.0,0.0,4,858168062.0,0.01,44,-3.2815795281910046e-05,0.4400000000000002
001301.SZ,0.009943788567134406,-88.0,0.0,4,220076488.0,0.01,45,5.621143286559452e-05,0.45000000000000023
001366.SZ,0.010539295793442479,-90.0,0.0,4,195499945.0,0.01,46,-0.0005392957934424788,0.46000000000000024
002006.SZ,0.009943005715551179,-92.0,0.0,4,100564768.0,0.01,47,5.699428444882158e-05,0.47000000000000025
002011.SZ,0.009907181839163774,-94.0,0.0,4,480378041.0,0.01,48,9.2818160836226e-05,0.48000000000000026
002017.SZ,0.010239628105007585,-96.0,0.0,4,171037842.0,0.01,49,-0.00023962810500758464,0.49000000000000027
002023.SZ,0.01018221281765281,-98.0,0.0,4,51221425.0,0.01,50,-0.00018221281765280935,0.5000000000000002
002033.SZ,0.009749207337405969,-100.0,0.0,4,567547147.0,0.01,51,0.0002507926625940314,0.5100000000000002
002050.SZ,0.0,-102.0,0.0,4,490542440.0,0.01,52,0.01,0.5200000000000002
002051.SZ,0.010045997427040793,-104.0,0.0,4,2174126758.0,0.01,53,-4.599742704079236e-05,0.5300000000000002
002056.SZ,0.009673562589204262,-106.0,0.0,4,264425735.0,0.01,54,0.0003264374107957383,0.5400000000000003
002057.SZ,0.009996904446682045,-108.0,0.0,4,88916636.0,0.01,55,3.095553317955524e-06,0.5500000000000003
002081.SZ,0.0,-110.0,0.0,4,74492683.0,0.01,56,0.01,0.5600000000000003
002085.SZ,0.010036055768477839,-112.0,0.0,4,161504568.0,0.01,57,-3.605576847783877e-05,0.5700000000000003
002100.SZ,0.0,-114.0,0.0,4,392590743.0,0.01,58,0.01,0.5800000000000003
002101.SZ,0.009990825611579246,-116.0,0.0,4,180268063.0,0.01,59,9.174388420754576e-06,0.5900000000000003
002104.SZ,0.0,-118.0,0.0,4,161305162.0,0.01,60,0.01,0.6000000000000003
002115.SZ,0.0,-120.0,0.0,4,279225695.0,0.01,61,0.01,0.6100000000000003
002125.SZ,0.009969265754417261,-122.0,0.0,4,80338727.0,0.01,62,3.0734245582739184e-05,0.6200000000000003
002126.SZ,0.0,-124.0,0.0,4,476947315.0,0.01,63,0.01,0.6300000000000003
002131.SZ,0.0,-126.0,0.0,4,346029522.0,0.01,64,0.01,0.6400000000000003
002137.SZ,0.010280734439670869,-128.0,0.0,4,93596430.0,0.01,65,-0.00028073443967086865,0.6500000000000004
002149.SZ,0.0,-130.0,0.0,4,169830876.0,0.01,66,0.01,0.6600000000000004
002166.SZ,0.01002528060568755,-132.0,0.0,4,53674662.0,0.01,67,-2.5280605687549515e-05,0.6700000000000004
002170.SZ,0.0,-134.0,0.0,4,94354508.0,0.01,68,0.01,0.6800000000000004
002175.SZ,0.0,-136.0,0.0,4,23381838.0,0.01,69,0.01,0.6900000000000004
002176.SZ,0.00992451220105266,-138.0,0.0,4,388944121.0,0.01,70,7.548779894733966e-05,0.7000000000000004
002188.SZ,0.0,-140.0,0.0,4,25116622.0,0.01,71,0.01,0.7100000000000004
002198.SZ,0.0,-142.0,0.0,4,58380378.0,0.01,72,0.01,0.7200000000000004
