,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000166.SZ,0.010102468597033145,0.0,0.0,4,457368524.0,0.01,1,-0.0001024685970331448,0.01
000403.SZ,0.00987590970689854,-2.0,0.0,4,117225803.0,0.01,2,0.00012409029310146008,0.02
000409.SZ,0.010379681064201531,-4.0,0.0,4,79825453.0,0.01,3,-0.000379681064201531,0.03
000525.SZ,0.010175531542123596,-6.0,0.0,4,56816474.0,0.01,4,-0.00017553154212359562,0.04
000529.SZ,0.008978949147806212,-8.0,0.0,4,107945437.0,0.01,5,0.0010210508521937885,0.05
000531.SZ,0.009938872827149897,-10.0,0.0,4,30824246.0,0.01,6,6.112717285010338e-05,0.060000000000000005
000534.SZ,0.010217270613664295,-12.0,0.0,4,138983199.0,0.01,7,-0.00021727061366429504,0.07
000537.SZ,0.01003717169312896,-14.0,0.0,4,90451794.0,0.01,8,-3.7171693128959515e-05,0.08
000543.SZ,0.009497006264732247,-16.0,0.0,4,193244872.0,0.01,9,0.0005029937352677531,0.09
000552.SZ,0.010057901244146007,-18.0,0.0,4,89099901.0,0.01,10,-5.790124414600632e-05,0.09999999999999999
000600.SZ,0.010069566707374815,-20.0,0.0,4,179202731.0,0.01,11,-6.956670737481505e-05,0.10999999999999999
000686.SZ,0.01011437304184522,-22.0,0.0,4,517052369.0,0.01,12,-0.00011437304184521921,0.11999999999999998
000733.SZ,0.010297206498231725,-24.0,0.0,4,371918066.0,0.01,13,-0.0002972064982317245,0.12999999999999998
000811.SZ,0.009941496123025171,-26.0,0.0,4,317533758.0,0.01,14,5.850387697482924e-05,0.13999999999999999
000829.SZ,0.010334090559324393,-28.0,0.0,4,255713378.0,0.01,15,-0.0003340905593243928,0.15
000831.SZ,0.010021719349701981,-30.0,0.0,4,558895397.0,0.01,16,-2.171934970198082e-05,0.16
000875.SZ,0.010211952898626083,-32.0,0.0,4,89118095.0,0.01,17,-0.0002119528986260829,0.17
000893.SZ,0.009855225906689642,-34.0,0.0,4,358572317.0,0.01,18,0.000144774093310358,0.18000000000000002
000913.SZ,0.01006710827031411,-36.0,0.0,4,127529842.0,0.01,19,-6.710827031410939e-05,0.19000000000000003
000921.SZ,0.009888586199588639,-38.0,0.0,4,301580929.0,0.01,20,0.00011141380041136163,0.20000000000000004
000957.SZ,0.010263950497358199,-40.0,0.0,4,117712482.0,0.01,21,-0.00026395049735819867,0.21000000000000005
000972.SZ,0.010462423939681364,-42.0,0.0,4,42478663.0,0.01,22,-0.00046242393968136397,0.22000000000000006
002023.SZ,0.010070083041768867,-44.0,0.0,4,43331647.0,0.01,23,-7.008304176886644e-05,0.23000000000000007
002050.SZ,0.009976914229378442,-46.0,0.0,4,339505336.0,0.01,24,2.30857706215587e-05,0.24000000000000007
002081.SZ,0.010534084377679009,-48.0,0.0,4,89316901.0,0.01,25,-0.0005340843776790085,0.25000000000000006
002100.SZ,0.009798062667305726,-50.0,0.0,4,209238966.0,0.01,26,0.00020193733269427416,0.26000000000000006
002104.SZ,0.010408145842194861,-52.0,0.0,4,146069902.0,0.01,27,-0.0004081458421948611,0.2700000000000001
002115.SZ,0.010564479884434498,-54.0,0.0,4,203830695.0,0.01,28,-0.0005644798844344975,0.2800000000000001
