,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000155.SZ,0.00982121099360941,0.0,0.0,4,199621420.0,0.01,1,0.00017878900639058982,0.01
000533.SZ,0.01007189634709799,-2.0,0.0,4,24738972.0,0.01,2,-7.189634709798935e-05,0.02
000576.SZ,0.010004804883310627,-4.0,0.0,4,117482692.0,0.01,3,-4.804883310626645e-06,0.03
000726.SZ,0.009947613810597004,-6.0,0.0,4,45086640.0,0.01,4,5.238618940299651e-05,0.04
000735.SZ,0.009783082306380675,-8.0,0.0,4,563775240.0,0.01,5,0.00021691769361932567,0.05
000922.SZ,0.010171980478199205,-10.0,0.0,4,83081116.0,0.01,6,-0.0001719804781992046,0.060000000000000005
002045.SZ,0.00958450013709622,-12.0,0.0,4,1330282321.0,0.01,7,0.0004154998629037794,0.07
002046.SZ,0.009949770942899614,-14.0,0.0,4,122465860.0,0.01,8,5.022905710038578e-05,0.08
002073.SZ,0.010032849062046044,-16.0,0.0,4,100133023.0,0.01,9,-3.2849062046043376e-05,0.09
002079.SZ,0.009937702980854552,-18.0,0.0,4,1701405153.0,0.01,10,6.229701914544847e-05,0.09999999999999999
002090.SZ,0.010078535385609414,-20.0,0.0,4,99128414.0,0.01,11,-7.853538560941356e-05,0.10999999999999999
002111.SZ,0.01021154420407828,-22.0,0.0,4,35373364.0,0.01,12,-0.0002115442040782796,0.11999999999999998
002112.SZ,0.00970178261287441,-24.0,0.0,4,642522371.0,0.01,13,0.0002982173871255902,0.12999999999999998
002126.SZ,0.010174111857432031,-26.0,0.0,4,272259963.0,0.01,14,-0.000174111857432031,0.13999999999999999
002209.SZ,0.010145340328536668,-28.0,0.0,4,53114019.0,0.01,15,-0.00014534032853666737,0.15
002213.SZ,0.010000755447429208,-30.0,0.0,4,150910587.0,0.01,16,-7.554474292081198e-07,0.16
002219.SZ,0.010670994379928887,-32.0,0.0,4,118448044.0,0.01,17,-0.0006709943799288864,0.17
002240.SZ,0.009983767534860065,-34.0,0.0,4,435601617.0,0.01,18,1.6232465139934954e-05,0.18000000000000002
002267.SZ,0.010101444279858773,-36.0,0.0,4,25366650.0,0.01,19,-0.00010144427985877245,0.19000000000000003
002323.SZ,0.010081248870823204,-38.0,0.0,4,75447683.0,0.01,20,-8.124887082320426e-05,0.20000000000000004
002429.SZ,0.009923315133696547,-40.0,0.0,4,114237079.0,0.01,21,7.668486630345306e-05,0.21000000000000005
002546.SZ,0.0,-42.0,0.0,4,31240067.0,0.01,22,0.01,0.22000000000000006
002550.SZ,0.0,-44.0,0.0,4,45536741.0,0.01,23,0.01,0.23000000000000007
002572.SZ,0.01035551591035095,-46.0,0.0,4,139838026.0,0.01,24,-0.00035551591035094983,0.24000000000000007
002583.SZ,0.010125332830608172,-48.0,0.0,4,248347516.0,0.01,25,-0.00012533283060817135,0.25000000000000006
002590.SZ,0.010091743964608253,-50.0,0.0,4,70236685.0,0.01,26,-9.174396460825268e-05,0.26000000000000006
002624.SZ,0.010668633395195191,-52.0,0.0,4,1724167869.0,0.01,27,-0.0006686333951951909,0.2700000000000001
002669.SZ,0.0,-54.0,0.0,4,74758030.0,0.01,28,0.01,0.2800000000000001
002774.SZ,0.010103845236957565,-56.0,0.0,4,14577081.0,0.01,29,-0.00010384523695756466,0.2900000000000001
002783.SZ,0.0,-58.0,0.0,4,39108238.0,0.01,30,0.01,0.3000000000000001
002850.SZ,0.0,-60.0,0.0,4,245896437.0,0.01,31,0.01,0.3100000000000001
002882.SZ,0.009935014113417417,-62.0,0.0,4,238991169.0,0.01,32,6.498588658258343e-05,0.3200000000000001
002982.SZ,0.009972109442771588,-64.0,0.0,4,82149699.0,0.01,33,2.7890557228411883e-05,0.3300000000000001
002986.SZ,0.010137256222617342,-66.0,0.0,4,30888023.0,0.01,34,-0.00013725622261734176,0.34000000000000014
300054.SZ,0.010106733633669722,-68.0,0.0,4,511985169.0,0.01,35,-0.00010673363366972208,0.35000000000000014
300057.SZ,0.010133559379646965,-70.0,0.0,4,70215460.0,0.01,36,-0.00013355937964696502,0.36000000000000015
300105.SZ,0.01024692123311751,-72.0,0.0,4,41661087.0,0.01,37,-0.0002469212331175103,0.37000000000000016
300107.SZ,0.0,-74.0,0.0,4,34722281.0,0.01,38,0.01,0.38000000000000017
300160.SZ,0.010189959283656345,-76.0,0.0,4,99241001.0,0.01,39,-0.0001899592836563449,0.3900000000000002
300298.SZ,0.010180310385128507,-78.0,0.0,4,138939672.0,0.01,40,-0.0001803103851285067,0.4000000000000002
300452.SZ,0.010422586828346672,-80.0,0.0,4,99634606.0,0.01,41,-0.0004225868283466716,0.4100000000000002
300505.SZ,0.009947153628065654,-82.0,0.0,4,100811968.0,0.01,42,5.284637193434666e-05,0.4200000000000002
300534.SZ,0.0,-84.0,0.0,4,204782306.0,0.01,43,0.01,0.4300000000000002
300633.SZ,0.01021380529105381,-86.0,0.0,4,171770089.0,0.01,44,-0.00021380529105381046,0.4400000000000002
300639.SZ,0.0,-88.0,0.0,4,56207519.0,0.01,45,0.01,0.45000000000000023
300658.SZ,0.010156843796714582,-90.0,0.0,4,22809251.0,0.01,46,-0.00015684379671458172,0.46000000000000024
300666.SZ,0.010149575385849893,-92.0,0.0,4,1653680054.0,0.01,47,-0.00014957538584989272,0.47000000000000025
300717.SZ,0.010134322751753782,-94.0,0.0,4,17042816.0,0.01,48,-0.0001343227517537817,0.48000000000000026
300796.SZ,0.010459020006521269,-96.0,0.0,4,71103292.0,0.01,49,-0.00045902000652126886,0.49000000000000027
300811.SZ,0.010082860133089457,-98.0,0.0,4,75398898.0,0.01,50,-8.28601330894567e-05,0.5000000000000002
300820.SZ,0.010796522067759341,-100.0,0.0,4,478673073.0,0.01,51,-0.0007965220677593407,0.5100000000000002
300910.SZ,0.010562969023065435,-102.0,0.0,4,176001650.0,0.01,52,-0.000562969023065435,0.5200000000000002
301099.SZ,0.0101516230286744,-104.0,0.0,4,173798783.0,0.01,53,-0.0001516230286743997,0.5300000000000002
301358.SZ,0.010056495341241018,-106.0,0.0,4,255900459.0,0.01,54,-5.649534124101824e-05,0.5400000000000003
600053.SH,0.0,-108.0,0.0,4,28879937.0,0.01,55,0.01,0.5500000000000003
600060.SH,0.0,-110.0,0.0,4,387289453.0,0.01,56,0.01,0.5600000000000003
600067.SH,0.010241296882434388,-112.0,0.0,4,33244219.0,0.01,57,-0.00024129688243438793,0.5700000000000003
600094.SH,0.0,-114.0,0.0,4,32231818.0,0.01,58,0.01,0.5800000000000003
600098.SH,0.010113820824624026,-116.0,0.0,4,108366837.0,0.01,59,-0.0001138208246240259,0.5900000000000003
600121.SH,0.010089233616490403,-118.0,0.0,4,45211195.0,0.01,60,-8.923361649040319e-05,0.6000000000000003
600230.SH,0.01000554540588496,-120.0,0.0,4,119700197.0,0.01,61,-5.5454058849602195e-06,0.6100000000000003
600241.SH,0.010035145903722452,-122.0,0.0,4,19772795.0,0.01,62,-3.5145903722451355e-05,0.6200000000000003
600348.SH,0.0,-124.0,0.0,4,289454057.0,0.01,63,0.01,0.6300000000000003
600353.SH,0.01034686242478527,-126.0,0.0,4,95417523.0,0.01,64,-0.0003468624247852693,0.6400000000000003
600483.SH,0.0,-128.0,0.0,4,96575264.0,0.01,65,0.01,0.6500000000000004
600499.SH,0.0,-130.0,0.0,4,229290996.0,0.01,66,0.01,0.6600000000000004
600537.SH,0.010046841878432914,-132.0,0.0,4,128884428.0,0.01,67,-4.6841878432913805e-05,0.6700000000000004
600572.SH,0.0,-134.0,0.0,4,776628288.0,0.01,68,0.01,0.6800000000000004
600753.SH,0.0,-136.0,0.0,4,42437774.0,0.01,69,0.01,0.6900000000000004
600756.SH,0.010074703337264455,-138.0,0.0,4,374689329.0,0.01,70,-7.470333726445483e-05,0.7000000000000004
600795.SH,0.0,-140.0,0.0,4,221758860.0,0.01,71,0.01,0.7100000000000004
600968.SH,0.009988599317313872,-142.0,0.0,4,139130604.0,0.01,72,1.1400682686128066e-05,0.7200000000000004
601116.SH,0.009405694731979055,-144.0,0.0,4,839961577.0,0.01,73,0.0005943052680209455,0.7300000000000004
601137.SH,0.010046841878432914,-146.0,0.0,4,159633473.0,0.01,74,-4.6841878432913805e-05,0.7400000000000004
601177.SH,0.010026524705692515,-148.0,0.0,4,28750995.0,0.01,75,-2.6524705692514833e-05,0.7500000000000004
603029.SH,0.009919378546957161,-150.0,0.0,4,74794619.0,0.01,76,8.062145304283883e-05,0.7600000000000005
603129.SH,0.010156162827800169,-152.0,0.0,4,136678242.0,0.01,77,-0.0001561628278001683,0.7700000000000005
603290.SH,0.010118937822853185,-154.0,0.0,4,1478677254.0,0.01,78,-0.00011893782285318441,0.7800000000000005
603307.SH,0.0,-156.0,0.0,4,98921904.0,0.01,79,0.01,0.7900000000000005
603328.SH,0.010098830710487465,-158.0,0.0,4,109422230.0,0.01,80,-9.883071048746514e-05,0.8000000000000005
603529.SH,0.0,-160.0,0.0,4,363352569.0,0.01,81,0.01,0.8100000000000005
603768.SH,0.01011333322124714,-162.0,0.0,4,15281062.0,0.01,82,-0.00011333322124714058,0.8200000000000005
605088.SH,0.01003586772008189,-164.0,0.0,4,30190998.0,0.01,83,-3.586772008189014e-05,0.8300000000000005
605090.SH,0.010184218932136894,-166.0,0.0,4,85178884.0,0.01,84,-0.0001842189321368936,0.8400000000000005
605177.SH,0.010226398902861268,-168.0,0.0,4,14053704.0,0.01,85,-0.00022639890286126757,0.8500000000000005
605196.SH,0.0,-170.0,0.0,4,50146603.0,0.01,86,0.01,0.8600000000000005
688019.SH,0.010119379242907324,-172.0,0.0,4,572924153.0,0.01,87,-0.00011937924290732378,0.8700000000000006
688035.SH,0.0,-174.0,0.0,4,244191867.0,0.01,88,0.01,0.8800000000000006
688063.SH,0.009860672515980108,-176.0,0.0,4,669957870.0,0.01,89,0.00013932748401989173,0.8900000000000006
688123.SH,0.010259543167976911,-178.0,0.0,4,919815989.0,0.01,90,-0.0002595431679769111,0.9000000000000006
688126.SH,0.009888143282266844,-180.0,0.0,4,1699948177.0,0.01,91,0.00011185671773315635,0.9100000000000006
688184.SH,0.010101222619400461,-182.0,0.0,4,16969997.0,0.01,92,-0.00010122261940046125,0.9200000000000006
688206.SH,0.010358099102091154,-184.0,0.0,4,379540209.0,0.01,93,-0.00035809910209115385,0.9300000000000006
688439.SH,0.009984371385220904,-186.0,0.0,4,306271177.0,0.01,94,1.5628614779095856e-05,0.9400000000000006
688578.SH,0.0,-188.0,0.0,4,85032223.0,0.01,95,0.01,0.9500000000000006
688617.SH,0.010175576556368965,-190.0,0.0,4,182305050.0,0.01,96,-0.000175576556368965,0.9600000000000006
688697.SH,0.0,-192.0,0.0,4,161534237.0,0.01,97,0.01,0.9700000000000006
688800.SH,0.010400805346486807,-194.0,0.0,4,126058016.0,0.01,98,-0.00040080534648680687,0.9800000000000006
