,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000155.SZ,0.010052615059910307,0.0,0.0,4,248371724.0,0.01,1,-5.261505991030653e-05,0.01
000576.SZ,0.010118155717473412,-2.0,0.0,4,169613241.0,0.01,2,-0.00011815571747341228,0.02
000726.SZ,0.010034110604128805,-4.0,0.0,4,40490691.0,0.01,3,-3.4110604128804664e-05,0.03
000922.SZ,0.010032110091838246,-6.0,0.0,4,92731424.0,0.01,4,-3.2110091838245466e-05,0.04
002045.SZ,0.010336815028956364,-8.0,0.0,4,1301315319.0,0.01,5,-0.0003368150289563641,0.05
002046.SZ,0.01028241698990627,-10.0,0.0,4,80653011.0,0.01,6,-0.0002824169899062704,0.060000000000000005
002073.SZ,0.009948044465407039,-12.0,0.0,4,136900857.0,0.01,7,5.1955534592961275e-05,0.07
002079.SZ,0.010502567366300564,-14.0,0.0,4,1069480783.0,0.01,8,-0.0005025673663005634,0.08
002090.SZ,0.009964584128002827,-16.0,0.0,4,164128594.0,0.01,9,3.541587199717283e-05,0.09
002111.SZ,0.010137089382910806,-18.0,0.0,4,41411191.0,0.01,10,-0.00013708938291080545,0.09999999999999999
002126.SZ,0.010111629409515297,-20.0,0.0,4,392940343.0,0.01,11,-0.00011162940951529692,0.10999999999999999
002213.SZ,0.010118563163723152,-22.0,0.0,4,156896043.0,0.01,12,-0.0001185631637231517,0.11999999999999998
002219.SZ,0.010079084752348273,-24.0,0.0,4,97176998.0,0.01,13,-7.908475234827232e-05,0.12999999999999998
002240.SZ,0.009916584488114109,-26.0,0.0,4,460125258.0,0.01,14,8.341551188589119e-05,0.13999999999999999
002267.SZ,0.01003162633183668,-28.0,0.0,4,34820071.0,0.01,15,-3.162633183667954e-05,0.15
002429.SZ,0.010079540983190126,-30.0,0.0,4,114418871.0,0.01,16,-7.954098319012601e-05,0.16
002518.SZ,0.010843294742025203,-32.0,0.0,4,1748665924.0,0.01,17,-0.0008432947420252031,0.17
002572.SZ,0.010098921553875987,-34.0,0.0,4,221919242.0,0.01,18,-9.892155387598682e-05,0.18000000000000002
002583.SZ,0.00982853001338351,-36.0,0.0,4,249287660.0,0.01,19,0.00017146998661649038,0.19000000000000003
002590.SZ,0.009796194925063062,-38.0,0.0,4,70534848.0,0.01,20,0.0002038050749369382,0.20000000000000004
002624.SZ,0.00968049548266197,-40.0,0.0,4,3338420881.0,0.01,21,0.00031950451733803,0.21000000000000005
002774.SZ,0.010016263787261368,-42.0,0.0,4,21637078.0,0.01,22,-1.6263787261367943e-05,0.22000000000000006
002882.SZ,0.010343685975478871,-44.0,0.0,4,312044594.0,0.01,23,-0.0003436859754788711,0.23000000000000007
002982.SZ,0.009913706385280587,-46.0,0.0,4,107761806.0,0.01,24,8.62936147194137e-05,0.24000000000000007
002986.SZ,0.010235745723509607,-48.0,0.0,4,28462344.0,0.01,25,-0.00023574572350960714,0.25000000000000006
