,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000155.SZ,,0.0,0.0,4,317104718.0,0.01,1,,0.01
000576.SZ,,-2.0,0.0,4,71422677.0,0.01,2,,0.02
000726.SZ,,-4.0,0.0,4,71748644.0,0.01,3,,0.03
000922.SZ,,-6.0,0.0,4,105633677.0,0.01,4,,0.04
002045.SZ,,-8.0,0.0,4,959519740.0,0.01,5,,0.05
002046.SZ,,-10.0,0.0,4,119119512.0,0.01,6,,0.060000000000000005
002073.SZ,,-12.0,0.0,4,197000987.0,0.01,7,,0.07
002079.SZ,,-14.0,0.0,4,1053275704.0,0.01,8,,0.08
002090.SZ,,-16.0,0.0,4,144110320.0,0.01,9,,0.09
002111.SZ,,-18.0,0.0,4,36456259.0,0.01,10,,0.09999999999999999
002213.SZ,,-20.0,0.0,4,243430946.0,0.01,11,,0.10999999999999999
002240.SZ,,-22.0,0.0,4,646523266.0,0.01,12,,0.11999999999999998
002267.SZ,,-24.0,0.0,4,57978981.0,0.01,13,,0.12999999999999998
002429.SZ,,-26.0,0.0,4,151582260.0,0.01,14,,0.13999999999999999
002518.SZ,,-28.0,0.0,4,1275518108.0,0.01,15,,0.15
002572.SZ,,-30.0,0.0,4,277401869.0,0.01,16,,0.16
002583.SZ,,-32.0,0.0,4,283642986.0,0.01,17,,0.17
002590.SZ,,-34.0,0.0,4,64126089.0,0.01,18,,0.18000000000000002
002624.SZ,,-36.0,0.0,4,2659102572.0,0.01,19,,0.19000000000000003
002774.SZ,,-38.0,0.0,4,20914711.0,0.01,20,,0.20000000000000004
002882.SZ,,-40.0,0.0,4,273728617.0,0.01,21,,0.21000000000000005
002982.SZ,,-42.0,0.0,4,73747544.0,0.01,22,,0.22000000000000006
002986.SZ,,-44.0,0.0,4,37094485.0,0.01,23,,0.23000000000000007
300054.SZ,,-46.0,0.0,4,396740420.0,0.01,24,,0.24000000000000007
300057.SZ,,-48.0,0.0,4,106556973.0,0.01,25,,0.25000000000000006
300062.SZ,,-50.0,0.0,4,60928707.0,0.01,26,,0.26000000000000006
300160.SZ,,-52.0,0.0,4,81444022.0,0.01,27,,0.2700000000000001
300298.SZ,,-54.0,0.0,4,317761994.0,0.01,28,,0.2800000000000001
300452.SZ,,-56.0,0.0,4,182904156.0,0.01,29,,0.2900000000000001
300505.SZ,,-58.0,0.0,4,81315394.0,0.01,30,,0.3000000000000001
300633.SZ,,-60.0,0.0,4,300494342.0,0.01,31,,0.3100000000000001
300658.SZ,,-62.0,0.0,4,22915782.0,0.01,32,,0.3200000000000001
300666.SZ,,-64.0,0.0,4,545351422.0,0.01,33,,0.3300000000000001
300717.SZ,,-66.0,0.0,4,16294148.0,0.01,34,,0.34000000000000014
300796.SZ,,-68.0,0.0,4,98370352.0,0.01,35,,0.35000000000000014
300820.SZ,,-70.0,0.0,4,209288940.0,0.01,36,,0.36000000000000015
300890.SZ,,-72.0,0.0,4,119799595.0,0.01,37,,0.37000000000000016
300910.SZ,,-74.0,0.0,4,153012300.0,0.01,38,,0.38000000000000017
301099.SZ,,-76.0,0.0,4,192318469.0,0.01,39,,0.3900000000000002
301301.SZ,,-78.0,0.0,4,124017208.0,0.01,40,,0.4000000000000002
301358.SZ,,-80.0,0.0,4,224295171.0,0.01,41,,0.4100000000000002
600067.SH,,-82.0,0.0,4,76150333.0,0.01,42,,0.4200000000000002
600098.SH,,-84.0,0.0,4,104599330.0,0.01,43,,0.4300000000000002
600121.SH,,-86.0,0.0,4,44898660.0,0.01,44,,0.4400000000000002
600230.SH,,-88.0,0.0,4,135137021.0,0.01,45,,0.45000000000000023
600241.SH,,-90.0,0.0,4,15481026.0,0.01,46,,0.46000000000000024
600353.SH,,-92.0,0.0,4,142394459.0,0.01,47,,0.47000000000000025
600391.SH,,-94.0,0.0,4,267555536.0,0.01,48,,0.48000000000000026
600756.SH,,-96.0,0.0,4,547571313.0,0.01,49,,0.49000000000000027
600888.SH,,-98.0,0.0,4,141822873.0,0.01,50,,0.5000000000000002
600968.SH,,-100.0,0.0,4,419180818.0,0.01,51,,0.5100000000000002
601116.SH,,-102.0,0.0,4,1026406325.0,0.01,52,,0.5200000000000002
601137.SH,,-104.0,0.0,4,199662176.0,0.01,53,,0.5300000000000002
601177.SH,,-106.0,0.0,4,67888451.0,0.01,54,,0.5400000000000003
601231.SH,,-108.0,0.0,4,404837067.0,0.01,55,,0.5500000000000003
603029.SH,,-110.0,0.0,4,80986715.0,0.01,56,,0.5600000000000003
603129.SH,,-112.0,0.0,4,158273608.0,0.01,57,,0.5700000000000003
603290.SH,,-114.0,0.0,4,1131131470.0,0.01,58,,0.5800000000000003
603328.SH,,-116.0,0.0,4,96469056.0,0.01,59,,0.5900000000000003
603768.SH,,-118.0,0.0,4,20795695.0,0.01,60,,0.6000000000000003
605088.SH,,-120.0,0.0,4,45523572.0,0.01,61,,0.6100000000000003
605090.SH,,-122.0,0.0,4,118911066.0,0.01,62,,0.6200000000000003
605177.SH,,-124.0,0.0,4,26044665.0,0.01,63,,0.6300000000000003
688019.SH,,-126.0,0.0,4,362243752.0,0.01,64,,0.6400000000000003
688063.SH,,-128.0,0.0,4,896592556.0,0.01,65,,0.6500000000000004
688126.SH,,-130.0,0.0,4,1554802009.0,0.01,66,,0.6600000000000004
688206.SH,,-132.0,0.0,4,280819327.0,0.01,67,,0.6700000000000004
688439.SH,,-134.0,0.0,4,242572034.0,0.01,68,,0.6800000000000004
