,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000159.SZ,0.01024390310504326,0.0,0.0,4,66300499.0,0.01,1,-0.000243903105043259,0.01
000519.SZ,0.00999455700164334,-2.0,0.0,4,866620967.0,0.01,2,5.44299835666083e-06,0.02
000533.SZ,0.010068533972373481,-4.0,0.0,4,24258005.0,0.01,3,-6.853397237348118e-05,0.03
000539.SZ,0.0,-6.0,0.0,4,130397858.0,0.01,4,0.01,0.04
000625.SZ,0.01003264133359705,-8.0,0.0,4,802872884.0,0.01,5,-3.264133359704921e-05,0.05
000663.SZ,0.0,-10.0,0.0,4,50377792.0,0.01,6,0.01,0.060000000000000005
000735.SZ,0.010067567176562759,-12.0,0.0,4,175923476.0,0.01,7,-6.756717656275849e-05,0.07
000739.SZ,0.010362063480365873,-14.0,0.0,4,175697350.0,0.01,8,-0.0003620634803658731,0.08
000821.SZ,0.0,-16.0,0.0,4,669425323.0,0.01,9,0.01,0.09
000822.SZ,0.010029124655754045,-18.0,0.0,4,70730564.0,0.01,10,-2.912465575404498e-05,0.09999999999999999
000878.SZ,0.010066543200586291,-20.0,0.0,4,577650529.0,0.01,11,-6.654320058629114e-05,0.10999999999999999
000892.SZ,0.010605016846902057,-22.0,0.0,4,344370022.0,0.01,12,-0.000605016846902057,0.11999999999999998
000906.SZ,0.0,-24.0,0.0,4,48014948.0,0.01,13,0.01,0.12999999999999998
001228.SZ,0.010253074666211205,-26.0,0.0,4,45299166.0,0.01,14,-0.00025307466621120496,0.13999999999999999
001337.SZ,0.0099864308801377,-28.0,0.0,4,699675177.0,0.01,15,1.3569119862300374e-05,0.15
002006.SZ,0.00996491608055217,-30.0,0.0,4,96898939.0,0.01,16,3.508391944783036e-05,0.16
002011.SZ,0.0,-32.0,0.0,4,115418887.0,0.01,17,0.01,0.17
002017.SZ,0.009935260723510683,-34.0,0.0,4,150664431.0,0.01,18,6.473927648931697e-05,0.18000000000000002
002046.SZ,0.00986886260645848,-36.0,0.0,4,68773864.0,0.01,19,0.00013113739354152047,0.19000000000000003
002051.SZ,0.0,-38.0,0.0,4,433444281.0,0.01,20,0.01,0.20000000000000004
002056.SZ,0.00998745901811218,-40.0,0.0,4,250284167.0,0.01,21,1.2540981887819436e-05,0.21000000000000005
002057.SZ,0.009893214168436776,-42.0,0.0,4,126012074.0,0.01,22,0.0001067858315632244,0.22000000000000006
002085.SZ,0.009907976032644423,-44.0,0.0,4,164303153.0,0.01,23,9.202396735557769e-05,0.23000000000000007
002112.SZ,0.009815642442683303,-46.0,0.0,4,419343915.0,0.01,24,0.00018435755731669758,0.24000000000000007
002126.SZ,0.010081030488283165,-48.0,0.0,4,186540553.0,0.01,25,-8.103048828316493e-05,0.25000000000000006
002209.SZ,0.009861443655266804,-50.0,0.0,4,37942524.0,0.01,26,0.0001385563447331966,0.26000000000000006
002219.SZ,0.010395285204224456,-52.0,0.0,4,111921540.0,0.01,27,-0.0003952852042244555,0.2700000000000001
002225.SZ,0.009975255739400203,-54.0,0.0,4,97618206.0,0.01,28,2.4744260599797105e-05,0.2800000000000001
002250.SZ,0.0,-56.0,0.0,4,109246939.0,0.01,29,0.01,0.2900000000000001
002284.SZ,0.010223991067314926,-58.0,0.0,4,51294607.0,0.01,30,-0.00022399106731492598,0.3000000000000001
002301.SZ,0.0,-60.0,0.0,4,59719102.0,0.01,31,0.01,0.3100000000000001
002322.SZ,0.0,-62.0,0.0,4,78261923.0,0.01,32,0.01,0.3200000000000001
002323.SZ,0.011145195211377424,-64.0,1.0,4,46276816.0,0.011145195211377424,33,0.0,0.33114519521137753
002324.SZ,0.010048809053542435,-66.0,0.0,4,131586646.0,0.01,34,-4.880905354243473e-05,0.34114519521137754
002334.SZ,0.010210218349039594,-68.0,0.0,4,313261871.0,0.01,35,-0.00021021834903959397,0.35114519521137755
002427.SZ,0.010089367474235661,-70.0,0.0,4,25358528.0,0.01,36,-8.936747423566108e-05,0.36114519521137756
002472.SZ,0.009669039579076381,-72.0,0.0,4,328386966.0,0.01,37,0.0003309604209236188,0.37114519521137757
002476.SZ,0.010350322388851658,-74.0,0.0,4,72716458.0,0.01,38,-0.0003503223888516576,0.3811451952113776
002526.SZ,0.010033009368365174,-76.0,0.0,4,44503420.0,0.01,39,-3.3009368365173944e-05,0.3911451952113776
002536.SZ,0.009907547819412447,-78.0,0.0,4,200108251.0,0.01,40,9.24521805875534e-05,0.4011451952113776
002545.SZ,0.009965271508908611,-80.0,0.0,4,70855472.0,0.01,41,3.472849109138927e-05,0.4111451952113776
002546.SZ,0.010194645513498248,-82.0,0.0,4,43517391.0,0.01,42,-0.00019464551349824763,0.4211451952113776
002550.SZ,0.010219817477839045,-84.0,0.0,4,64390074.0,0.01,43,-0.000219817477839045,0.4311451952113776
002590.SZ,0.009700887753530452,-86.0,0.0,4,48154579.0,0.01,44,0.0002991122464695486,0.4411451952113776
002669.SZ,0.009999553494930567,-88.0,0.0,4,61632451.0,0.01,45,4.4650506943362533e-07,0.45114519521137764
002702.SZ,0.01011912962047586,-90.0,0.0,4,43413317.0,0.01,46,-0.000119129620475859,0.46114519521137765
002783.SZ,0.010223212096716741,-92.0,0.0,4,38017244.0,0.01,47,-0.00022321209671674093,0.47114519521137765
002850.SZ,0.01043771158892397,-94.0,0.0,4,188801722.0,0.01,48,-0.00043771158892396897,0.48114519521137766
002878.SZ,0.010479821252961668,-96.0,0.0,4,171356704.0,0.01,49,-0.0004798212529616673,0.49114519521137767
002885.SZ,0.0,-98.0,0.0,4,154487862.0,0.01,50,0.01,0.5011451952113777
002902.SZ,0.009613722494856208,-100.0,0.0,4,269485374.0,0.01,51,0.0003862775051437922,0.5111451952113777
