,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000166.SZ,0.009824778504588043,0.0,0.0,4,345807412.0,0.01,1,0.0001752214954119577,0.01
000403.SZ,0.009881019666906403,-2.0,0.0,4,127975598.0,0.01,2,0.00011898033309359728,0.02
000409.SZ,0.009718564250805297,-4.0,0.0,4,102841603.0,0.01,3,0.0002814357491947028,0.03
000423.SZ,0.009667990292464103,-6.0,0.0,4,383742955.0,0.01,4,0.00033200970753589736,0.04
000525.SZ,0.010308992460245584,-8.0,0.0,4,97139051.0,0.01,5,-0.00030899246024558395,0.05
000529.SZ,0.010046899432388054,-10.0,0.0,4,65835240.0,0.01,6,-4.689943238805373e-05,0.060000000000000005
000531.SZ,0.009921137504679878,-12.0,0.0,4,31125912.0,0.01,7,7.886249532012245e-05,0.07
000534.SZ,0.010465882353670155,-14.0,0.0,4,101089496.0,0.01,8,-0.0004658823536701547,0.08
000537.SZ,0.010214186256773455,-16.0,0.0,4,106563764.0,0.01,9,-0.00021418625677345482,0.09
000543.SZ,0.010116258945783338,-18.0,0.0,4,171189382.0,0.01,10,-0.00011625894578333809,0.09999999999999999
000552.SZ,0.009995065503896214,-20.0,0.0,4,97667081.0,0.01,11,4.934496103786365e-06,0.10999999999999999
000567.SZ,0.010183402781895518,-22.0,0.0,4,94065052.0,0.01,12,-0.000183402781895518,0.11999999999999998
000600.SZ,0.009964637898307314,-24.0,0.0,4,194017702.0,0.01,13,3.536210169268611e-05,0.12999999999999998
000686.SZ,0.009706535083816241,-26.0,0.0,4,1148601684.0,0.01,14,0.0002934649161837593,0.13999999999999999
000733.SZ,0.010273233633528962,-28.0,0.0,4,386485972.0,0.01,15,-0.0002732336335289614,0.15
000762.SZ,0.010169286618003011,-30.0,0.0,4,447762938.0,0.01,16,-0.000169286618003011,0.16
000811.SZ,0.01021854282473763,-32.0,0.0,4,224289669.0,0.01,17,-0.00021854282473762927,0.17
000829.SZ,0.010124335476357412,-34.0,0.0,4,251521331.0,0.01,18,-0.00012433547635741157,0.18000000000000002
000831.SZ,0.00995989764268725,-36.0,0.0,4,772581694.0,0.01,19,4.010235731275076e-05,0.19000000000000003
000875.SZ,0.010153737428115294,-38.0,0.0,4,114982404.0,0.01,20,-0.00015373742811529423,0.20000000000000004
000893.SZ,0.010165277380812514,-40.0,0.0,4,151858419.0,0.01,21,-0.0001652773808125136,0.21000000000000005
