,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000166.SZ,0.010281702096338259,0.0,0.0,4,327991819.0,0.01,1,-0.00028170209633825855,0.01
000403.SZ,0.010244115020265001,-2.0,0.0,4,84687981.0,0.01,2,-0.0002441150202650011,0.02
000409.SZ,0.010012221665731801,-4.0,0.0,4,106303409.0,0.01,3,-1.2221665731801043e-05,0.03
000525.SZ,0.009999482496855967,-6.0,0.0,4,88848319.0,0.01,4,5.17503144033607e-07,0.04
000529.SZ,0.01010982014738095,-8.0,0.0,4,77656120.0,0.01,5,-0.00010982014738094951,0.05
000531.SZ,0.010172517459926155,-10.0,0.0,4,27482320.0,0.01,6,-0.00017251745992615496,0.060000000000000005
000534.SZ,0.010209192577208257,-12.0,0.0,4,149580204.0,0.01,7,-0.0002091925772082573,0.07
000537.SZ,0.010010901609337213,-14.0,0.0,4,125967743.0,0.01,8,-1.0901609337213292e-05,0.08
000543.SZ,0.010222597759442297,-16.0,0.0,4,244041074.0,0.01,9,-0.00022259775944229697,0.09
000552.SZ,0.009977782544991745,-18.0,0.0,4,82952957.0,0.01,10,2.2217455008254755e-05,0.09999999999999999
000600.SZ,0.010046280597741902,-20.0,0.0,4,178672071.0,0.01,11,-4.628059774190209e-05,0.10999999999999999
000686.SZ,0.009990849784492849,-22.0,0.0,4,639251232.0,0.01,12,9.15021550715149e-06,0.11999999999999998
000733.SZ,0.010147430915704836,-24.0,0.0,4,548879137.0,0.01,13,-0.00014743091570483535,0.12999999999999998
000762.SZ,0.00973898647383677,-26.0,0.0,4,476761799.0,0.01,14,0.0002610135261632302,0.13999999999999999
000811.SZ,0.010083687071900242,-28.0,0.0,4,364493874.0,0.01,15,-8.368707190024166e-05,0.15
000829.SZ,0.009793253096297092,-30.0,0.0,4,269808701.0,0.01,16,0.00020674690370290835,0.16
000831.SZ,0.009851216237942835,-32.0,0.0,4,634326340.0,0.01,17,0.0001487837620571652,0.17
000875.SZ,0.010135379878272356,-34.0,0.0,4,118033923.0,0.01,18,-0.0001353798782723556,0.18000000000000002
000893.SZ,0.010532762041387554,-36.0,0.0,4,139733142.0,0.01,19,-0.000532762041387554,0.19000000000000003
000913.SZ,0.010237315698749423,-38.0,0.0,4,119607184.0,0.01,20,-0.000237315698749423,0.20000000000000004
000921.SZ,0.010101319091392481,-40.0,0.0,4,353069846.0,0.01,21,-0.00010131909139248114,0.21000000000000005
000937.SZ,0.009865625518639622,-42.0,0.0,4,319236062.0,0.01,22,0.00013437448136037825,0.22000000000000006
000957.SZ,0.009934745325353943,-44.0,0.0,4,167802184.0,0.01,23,6.525467464605673e-05,0.23000000000000007
000968.SZ,0.01014866257952731,-46.0,0.0,4,40250760.0,0.01,24,-0.00014866257952731061,0.24000000000000007
000972.SZ,0.009783519753484161,-48.0,0.0,4,35645730.0,0.01,25,0.0002164802465158388,0.25000000000000006
001301.SZ,0.011107779566718236,-50.0,1.0,4,211484820.0,0.011107779566718236,26,0.0,0.26110777956671827
002023.SZ,0.01020137258557901,-52.0,0.0,4,48897179.0,0.01,27,-0.00020137258557901064,0.2711077795667183
002050.SZ,0.010032743860105983,-54.0,0.0,4,724084143.0,0.01,28,-3.274386010598297e-05,0.2811077795667183
002081.SZ,0.010278303824460914,-56.0,0.0,4,92987860.0,0.01,29,-0.0002783038244609133,0.2911077795667183
002100.SZ,0.010085789714715384,-58.0,0.0,4,262959946.0,0.01,30,-8.578971471538341e-05,0.3011077795667183
002104.SZ,0.010084917978426944,-60.0,0.0,4,137041236.0,0.01,31,-8.491797842694396e-05,0.3111077795667183
002115.SZ,0.009899936029353485,-62.0,0.0,4,283806813.0,0.01,32,0.00010006397064651548,0.3211077795667183
002126.SZ,0.010301557116167384,-64.0,0.0,4,470644231.0,0.01,33,-0.0003015571161673839,0.33110777956671833
002131.SZ,0.010003783640984943,-66.0,0.0,4,370531303.0,0.01,34,-3.7836409849424657e-06,0.34110777956671834
002149.SZ,0.01025504689874447,-68.0,0.0,4,115940950.0,0.01,35,-0.00025504689874446956,0.35110777956671835
002170.SZ,0.010064913879371796,-70.0,0.0,4,80112709.0,0.01,36,-6.491387937179564e-05,0.36110777956671836
002175.SZ,0.010165733061176178,-72.0,0.0,4,41220171.0,0.01,37,-0.0001657330611761782,0.37110777956671837
002188.SZ,0.010166793483259464,-74.0,0.0,4,25932562.0,0.01,38,-0.00016679348325946385,0.3811077795667184
002198.SZ,0.010243229701119608,-76.0,0.0,4,33000232.0,0.01,39,-0.00024322970111960787,0.3911077795667184
002239.SZ,0.010294489386816562,-78.0,0.0,4,52396393.0,0.01,40,-0.00029448938681656163,0.4011077795667184
002338.SZ,0.010408788681737478,-80.0,0.0,4,126256376.0,0.01,41,-0.00040878868173747744,0.4111077795667184
002340.SZ,0.010053502624591471,-82.0,0.0,4,316739422.0,0.01,42,-5.350262459147097e-05,0.4211077795667184
002353.SZ,0.010030944469819102,-84.0,0.0,4,167236748.0,0.01,43,-3.094446981910179e-05,0.4311077795667184
002358.SZ,0.009841649681950506,-86.0,0.0,4,54768885.0,0.01,44,0.00015835031804949454,0.4411077795667184
002371.SZ,0.010136762999229571,-88.0,0.0,4,4427410909.0,0.01,45,-0.00013676299922957096,0.45110777956671844
002375.SZ,0.010119715339446054,-90.0,0.0,4,22795778.0,0.01,46,-0.000119715339446054,0.46110777956671845
002409.SZ,0.010168727603532096,-92.0,0.0,4,791943896.0,0.01,47,-0.0001687276035320963,0.47110777956671845
002418.SZ,0.009646195845946146,-94.0,0.0,4,129700509.0,0.01,48,0.00035380415405385397,0.48110777956671846
002422.SZ,0.010258648952855418,-96.0,0.0,4,737864841.0,0.01,49,-0.00025864895285541804,0.49110777956671847
002432.SZ,0.009826651731017466,-98.0,0.0,4,317902961.0,0.01,50,0.00017334826898253441,0.5011077795667185
002435.SZ,0.010403918763046749,-100.0,0.0,4,40333062.0,0.01,51,-0.0004039187630467487,0.5111077795667185
002445.SZ,0.009928284863404054,-102.0,0.0,4,76910105.0,0.01,52,7.171513659594633e-05,0.5211077795667185
002446.SZ,0.01050251883095614,-104.0,0.0,4,185517511.0,0.01,53,-0.0005025188309561394,0.5311077795667185
