,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000055.SZ,0.010089093609877902,0.0,0.0,4,32266120.0,0.01,1,-8.909360987790181e-05,0.01
000159.SZ,0.00985018506786244,-2.0,0.0,4,66401920.0,0.01,2,0.0001498149321375597,0.02
000423.SZ,0.010119539065007689,-4.0,0.0,4,308353136.0,0.01,3,-0.00011953906500768857,0.03
000519.SZ,0.009825436425979694,-6.0,0.0,4,836739976.0,0.01,4,0.0001745635740203061,0.04
000521.SZ,0.010514114730996107,-8.0,0.0,4,993727680.0,0.01,5,-0.0005141147309961069,0.05
000529.SZ,0.0,-10.0,0.0,4,48247408.0,0.01,6,0.01,0.060000000000000005
000534.SZ,0.0,-12.0,0.0,4,47468479.0,0.01,7,0.01,0.07
000537.SZ,0.0,-14.0,0.0,4,151286237.0,0.01,8,0.01,0.08
000539.SZ,0.0100941242740899,-16.0,0.0,4,121087969.0,0.01,9,-9.412427408989933e-05,0.09
000543.SZ,0.0,-18.0,0.0,4,204628176.0,0.01,10,0.01,0.09999999999999999
000552.SZ,0.0,-20.0,0.0,4,139186731.0,0.01,11,0.01,0.10999999999999999
000567.SZ,0.010125892641420428,-22.0,0.0,4,50506238.0,0.01,12,-0.0001258926414204279,0.11999999999999998
000600.SZ,0.0,-24.0,0.0,4,278148207.0,0.01,13,0.01,0.12999999999999998
000625.SZ,0.009950977944302707,-26.0,0.0,4,1190084724.0,0.01,14,4.902205569729326e-05,0.13999999999999999
000663.SZ,0.01013182346347734,-28.0,0.0,4,37663750.0,0.01,15,-0.0001318234634773395,0.15
000686.SZ,0.0,-30.0,0.0,4,2293883265.0,0.01,16,0.01,0.16
000700.SZ,0.010204563654667176,-32.0,0.0,4,26176361.0,0.01,17,-0.000204563654667176,0.17
000729.SZ,0.010094825590816772,-34.0,0.0,4,383986453.0,0.01,18,-9.482559081677201e-05,0.18000000000000002
000733.SZ,0.0,-36.0,0.0,4,225756829.0,0.01,19,0.01,0.19000000000000003
000762.SZ,0.010000135180367374,-38.0,0.0,4,722236677.0,0.01,20,-1.3518036737387995e-07,0.20000000000000004
000821.SZ,0.009804612359395354,-40.0,0.0,4,742993332.0,0.01,21,0.0001953876406046457,0.21000000000000005
000822.SZ,0.00995498500384215,-42.0,0.0,4,64190908.0,0.01,22,4.5014996157850123e-05,0.22000000000000006
000863.SZ,0.01006028939087109,-44.0,0.0,4,187849096.0,0.01,23,-6.028939087109053e-05,0.23000000000000007
000875.SZ,0.0,-46.0,0.0,4,62287172.0,0.01,24,0.01,0.24000000000000007
000892.SZ,0.011129193840638187,-48.0,1.0,4,173243768.0,0.011129193840638187,25,0.0,0.25112919384063825
000893.SZ,0.0,-50.0,0.0,4,129187228.0,0.01,26,0.01,0.26112919384063826
000899.SZ,0.009898862362896874,-52.0,0.0,4,53962596.0,0.01,27,0.00010113763710312661,0.27112919384063827
000906.SZ,0.010202855213131617,-54.0,0.0,4,90917098.0,0.01,28,-0.00020285521313161657,0.2811291938406383
000921.SZ,0.0,-56.0,0.0,4,1194903133.0,0.01,29,0.01,0.2911291938406383
000937.SZ,0.010123536803380035,-58.0,0.0,4,406976498.0,0.01,30,-0.00012353680338003485,0.3011291938406383
000966.SZ,0.010169546565398984,-60.0,0.0,4,263179216.0,0.01,31,-0.00016954656539898416,0.3111291938406383
000968.SZ,0.01003575209988097,-62.0,0.0,4,58837550.0,0.01,32,-3.575209988096982e-05,0.3211291938406383
000972.SZ,0.0,-64.0,0.0,4,214650029.0,0.01,33,0.01,0.3311291938406383
000983.SZ,0.009890147950195353,-66.0,0.0,4,1831605841.0,0.01,34,0.00010985204980464708,0.34112919384063833
001301.SZ,0.009808162892029288,-68.0,0.0,4,285580639.0,0.01,35,0.0001918371079707125,0.35112919384063834
001366.SZ,0.01030414350454828,-70.0,0.0,4,208497757.0,0.01,36,-0.00030414350454827967,0.36112919384063835
002006.SZ,0.009903404769818271,-72.0,0.0,4,91656077.0,0.01,37,9.659523018172925e-05,0.37112919384063836
002011.SZ,0.010442230385712455,-74.0,0.0,4,307646855.0,0.01,38,-0.0004422303857124551,0.38112919384063837
002017.SZ,0.01046445292054355,-76.0,0.0,4,110972417.0,0.01,39,-0.00046445292054355,0.3911291938406384
002023.SZ,0.0,-78.0,0.0,4,68930937.0,0.01,40,0.01,0.4011291938406384
002033.SZ,0.010615648127657572,-80.0,0.0,4,326218054.0,0.01,41,-0.0006156481276575719,0.4111291938406384
002051.SZ,0.01062068656827058,-82.0,0.0,4,2341531724.0,0.01,42,-0.0006206865682705804,0.4211291938406384
002056.SZ,0.010022153487618573,-84.0,0.0,4,279074844.0,0.01,43,-2.2153487618572706e-05,0.4311291938406384
002057.SZ,0.009900098968369289,-86.0,0.0,4,87173410.0,0.01,44,9.99010316307114e-05,0.4411291938406384
002085.SZ,0.01018821736251684,-88.0,0.0,4,210394413.0,0.01,45,-0.0001882173625168404,0.45112919384063843
002101.SZ,0.009945250772560353,-90.0,0.0,4,193422985.0,0.01,46,5.474922743964675e-05,0.46112919384063844
002125.SZ,0.00993058572476149,-92.0,0.0,4,122582463.0,0.01,47,6.941427523850935e-05,0.47112919384063845
002137.SZ,0.010124230330563252,-94.0,0.0,4,126958169.0,0.01,48,-0.0001242303305632516,0.48112919384063846
002166.SZ,0.009999956694171063,-96.0,0.0,4,59335262.0,0.01,49,4.330582893674606e-08,0.49112919384063847
002176.SZ,0.009955019321306048,-98.0,0.0,4,604507284.0,0.01,50,4.498067869395175e-05,0.5011291938406385
002204.SZ,0.01010972570288087,-100.0,0.0,4,96255637.0,0.01,51,-0.00010972570288086958,0.5111291938406385
002225.SZ,0.00999298522143309,-102.0,0.0,4,69381650.0,0.01,52,7.014778566910226e-06,0.5211291938406385
002239.SZ,0.0,-104.0,0.0,4,41133223.0,0.01,53,0.01,0.5311291938406385
002249.SZ,0.010050719521487827,-106.0,0.0,4,80662360.0,0.01,54,-5.07195214878263e-05,0.5411291938406385
002250.SZ,0.010029489784973122,-108.0,0.0,4,89395063.0,0.01,55,-2.9489784973121824e-05,0.5511291938406385
002270.SZ,0.010223638104825116,-110.0,0.0,4,427690666.0,0.01,56,-0.00022363810482511556,0.5611291938406385
002301.SZ,0.010009256379112975,-112.0,0.0,4,194615278.0,0.01,57,-9.256379112974542e-06,0.5711291938406385
002311.SZ,0.010066857607881199,-114.0,0.0,4,486385246.0,0.01,58,-6.685760788119853e-05,0.5811291938406385
002312.SZ,0.01002892869418564,-116.0,0.0,4,85471007.0,0.01,59,-2.8928694185640508e-05,0.5911291938406386
002322.SZ,0.010192441640633708,-118.0,0.0,4,61540222.0,0.01,60,-0.00019244164063370733,0.6011291938406386
002324.SZ,0.009737227729683402,-120.0,0.0,4,334630705.0,0.01,61,0.0002627722703165986,0.6111291938406386
002337.SZ,0.01010972570288087,-122.0,0.0,4,45246392.0,0.01,62,-0.00010972570288086958,0.6211291938406386
002338.SZ,0.01048338395817656,-124.0,0.0,4,116971271.0,0.01,63,-0.00048338395817655935,0.6311291938406386
002358.SZ,0.010088880907314949,-126.0,0.0,4,52556253.0,0.01,64,-8.888090731494838e-05,0.6411291938406386
002360.SZ,0.010218140992022801,-128.0,0.0,4,23990007.0,0.01,65,-0.00021814099202280106,0.6511291938406386
002367.SZ,0.01019367360270911,-130.0,0.0,4,51332690.0,0.01,66,-0.00019367360270911016,0.6611291938406386
002385.SZ,0.010165580541236167,-132.0,0.0,4,220946628.0,0.01,67,-0.00016558054123616724,0.6711291938406386
002409.SZ,0.0,-134.0,0.0,4,593837678.0,0.01,68,0.01,0.6811291938406386
002418.SZ,0.0,-136.0,0.0,4,135052973.0,0.01,69,0.01,0.6911291938406386
002424.SZ,0.00998628582871004,-138.0,0.0,4,162306379.0,0.01,70,1.3714171289959387e-05,0.7011291938406387
002427.SZ,0.01024727299158927,-140.0,0.0,4,61199634.0,0.01,71,-0.00024727299158927053,0.7111291938406387
002434.SZ,0.01002866261024903,-142.0,0.0,4,82306793.0,0.01,72,-2.8662610249030607e-05,0.7211291938406387
002435.SZ,0.0,-144.0,0.0,4,51015276.0,0.01,73,0.01,0.7311291938406387
002446.SZ,0.0,-146.0,0.0,4,374856623.0,0.01,74,0.01,0.7411291938406387
002459.SZ,0.010064225811735104,-148.0,0.0,4,1212791033.0,0.01,75,-6.422581173510383e-05,0.7511291938406387
002472.SZ,0.009901936874041223,-150.0,0.0,4,184626815.0,0.01,76,9.806312595877706e-05,0.7611291938406387
002475.SZ,0.0,-152.0,0.0,4,1213885094.0,0.01,77,0.01,0.7711291938406387
002476.SZ,0.01000879666056706,-154.0,0.0,4,107733359.0,0.01,78,-8.796660567059536e-06,0.7811291938406387
002497.SZ,0.0,-156.0,0.0,4,514818350.0,0.01,79,0.01,0.7911291938406387
002510.SZ,0.0,-158.0,0.0,4,25612165.0,0.01,80,0.01,0.8011291938406387
002517.SZ,0.0,-160.0,0.0,4,798159902.0,0.01,81,0.01,0.8111291938406388
002518.SZ,0.010159476249428838,-162.0,0.0,4,1401662980.0,0.01,82,-0.00015947624942883737,0.8211291938406388
002526.SZ,0.01002368548411144,-164.0,0.0,4,38012986.0,0.01,83,-2.3685484111439156e-05,0.8311291938406388
002535.SZ,0.009958834274826713,-166.0,0.0,4,133699422.0,0.01,84,4.1165725173286996e-05,0.8411291938406388
002536.SZ,0.00987128877552556,-168.0,0.0,4,124076430.0,0.01,85,0.00012871122447444087,0.8511291938406388
