,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000055.SZ,0.009974405561897232,0.0,0.0,4,43309716.0,0.01,1,2.5594438102767916e-05,0.01
000166.SZ,0.010346370757765568,-2.0,0.0,4,346914979.0,0.01,2,-0.00034637075776556767,0.02
000403.SZ,0.01001785463205103,-4.0,0.0,4,132288271.0,0.01,3,-1.785463205102901e-05,0.03
000409.SZ,0.01001444502094806,-6.0,0.0,4,122882820.0,0.01,4,-1.4445020948059342e-05,0.04
000423.SZ,0.010269608980759345,-8.0,0.0,4,243423126.0,0.01,5,-0.00026960898075934457,0.05
000525.SZ,0.00940105936790752,-10.0,0.0,4,40554367.0,0.01,6,0.00059894063209248,0.060000000000000005
000529.SZ,0.010202668267486194,-12.0,0.0,4,69449881.0,0.01,7,-0.00020266826748619425,0.07
000531.SZ,0.010197906201206232,-14.0,0.0,4,28036508.0,0.01,8,-0.00019790620120623166,0.08
000534.SZ,0.010050929048918775,-16.0,0.0,4,58216306.0,0.01,9,-5.0929048918775185e-05,0.09
000537.SZ,0.010067732684490578,-18.0,0.0,4,91719635.0,0.01,10,-6.773268449057797e-05,0.09999999999999999
000543.SZ,0.010191403391432716,-20.0,0.0,4,189851761.0,0.01,11,-0.00019140339143271581,0.10999999999999999
000552.SZ,0.010137204379115784,-22.0,0.0,4,102825210.0,0.01,12,-0.00013720437911578405,0.11999999999999998
000567.SZ,0.010095114928201778,-24.0,0.0,4,92157299.0,0.01,13,-9.51149282017779e-05,0.12999999999999998
000600.SZ,0.010281074365674233,-26.0,0.0,4,130900883.0,0.01,14,-0.00028107436567423316,0.13999999999999999
000686.SZ,0.010715603427270294,-28.0,0.0,4,529956095.0,0.01,15,-0.0007156034272702942,0.15
000700.SZ,0.009895417480778278,-30.0,0.0,4,47455307.0,0.01,16,0.0001045825192217218,0.16
000733.SZ,0.009918937297362164,-32.0,0.0,4,434165262.0,0.01,17,8.10627026378366e-05,0.17
000762.SZ,0.009600513887763456,-34.0,0.0,4,313809281.0,0.01,18,0.00039948611223654396,0.18000000000000002
000811.SZ,0.010192940667973825,-36.0,0.0,4,293157326.0,0.01,19,-0.00019294066797382464,0.19000000000000003
000829.SZ,0.009994146251483704,-38.0,0.0,4,267705521.0,0.01,20,5.8537485162959285e-06,0.20000000000000004
000831.SZ,0.01030411826612039,-40.0,0.0,4,611249302.0,0.01,21,-0.0003041182661203904,0.21000000000000005
000863.SZ,0.009882252166252417,-42.0,0.0,4,76147640.0,0.01,22,0.00011774783374758277,0.22000000000000006
000875.SZ,0.009995180037814444,-44.0,0.0,4,86859183.0,0.01,23,4.819962185556581e-06,0.23000000000000007
000893.SZ,0.010022909956438819,-46.0,0.0,4,146791388.0,0.01,24,-2.2909956438818546e-05,0.24000000000000007
000899.SZ,0.00978926849623484,-48.0,0.0,4,80335507.0,0.01,25,0.00021073150376516026,0.25000000000000006
000913.SZ,0.010100427560481089,-50.0,0.0,4,92851648.0,0.01,26,-0.00010042756048108878,0.26000000000000006
000921.SZ,0.010439141313280696,-52.0,0.0,4,352628410.0,0.01,27,-0.0004391413132806953,0.2700000000000001
