,weight,score,udstatus,tradestatus,amt,new_pos,rank,trade_need_todo,cumpos
000159.SZ,0.010100479655011213,0.0,0.0,4,147755295.0,0.01,1,-0.00010047965501121248,0.01
000519.SZ,0.009657052269247826,-2.0,0.0,4,745040007.0,0.01,2,0.00034294773075217375,0.02
000533.SZ,0.009988471887650013,-4.0,0.0,4,43007389.0,0.01,3,1.1528112349987185e-05,0.03
000625.SZ,0.010030208039822656,-6.0,0.0,4,1060194475.0,0.01,4,-3.0208039822655908e-05,0.04
000726.SZ,0.0102158925948333,-8.0,0.0,4,49428436.0,0.01,5,-0.00021589259483329945,0.05
000735.SZ,0.00991302484764532,-10.0,0.0,4,288877316.0,0.01,6,8.697515235468051e-05,0.060000000000000005
000739.SZ,0.0,-12.0,0.0,4,201777454.0,0.01,7,0.01,0.07
000822.SZ,0.0,-14.0,0.0,4,109960692.0,0.01,8,0.01,0.08
000878.SZ,0.01018493410822955,-16.0,0.0,4,501133129.0,0.01,9,-0.00018493410822954977,0.09
000922.SZ,0.010003130115705784,-18.0,0.0,4,108319057.0,0.01,10,-3.1301157057839896e-06,0.09999999999999999
001228.SZ,0.009890290530490843,-20.0,0.0,4,50013266.0,0.01,11,0.00010970946950915675,0.10999999999999999
001337.SZ,0.0,-22.0,0.0,4,449207030.0,0.01,12,0.01,0.11999999999999998
002045.SZ,0.009251249117320491,-24.0,0.0,4,847713331.0,0.01,13,0.0007487508826795088,0.12999999999999998
002046.SZ,0.0098739619287755,-26.0,0.0,4,77892117.0,0.01,14,0.00012603807122450045,0.13999999999999999
002056.SZ,0.0,-28.0,0.0,4,338810583.0,0.01,15,0.01,0.15
002057.SZ,0.0,-30.0,0.0,4,151939531.0,0.01,16,0.01,0.16
002073.SZ,0.010109760576677939,-32.0,0.0,4,105485968.0,0.01,17,-0.00010976057667793845,0.17
002085.SZ,0.0,-34.0,0.0,4,113006051.0,0.01,18,0.01,0.18000000000000002
002111.SZ,0.010087302157178863,-36.0,0.0,4,54389069.0,0.01,19,-8.730215717886285e-05,0.19000000000000003
002112.SZ,0.009729783206833766,-38.0,0.0,4,559624530.0,0.01,20,0.0002702167931662343,0.20000000000000004
002126.SZ,0.009863317349806812,-40.0,0.0,4,275684333.0,0.01,21,0.0001366826501931883,0.21000000000000005
002209.SZ,0.010068571863035393,-42.0,0.0,4,49016917.0,0.01,22,-6.857186303539306e-05,0.22000000000000006
002213.SZ,0.010251687287709218,-44.0,0.0,4,106443169.0,0.01,23,-0.000251687287709218,0.23000000000000007
002219.SZ,0.010096358691589128,-46.0,0.0,4,263540669.0,0.01,24,-9.635869158912749e-05,0.24000000000000007
002240.SZ,0.010501988224045864,-48.0,0.0,4,471345420.0,0.01,25,-0.0005019882240458635,0.25000000000000006
002267.SZ,0.010107048491733005,-50.0,0.0,4,33219748.0,0.01,26,-0.00010704849173300522,0.26000000000000006
002284.SZ,0.0,-52.0,0.0,4,97354548.0,0.01,27,0.01,0.2700000000000001
002323.SZ,0.0099006766881164,-54.0,0.0,4,51584879.0,0.01,28,9.932331188360066e-05,0.2800000000000001
002324.SZ,0.0,-56.0,0.0,4,142461142.0,0.01,29,0.01,0.2900000000000001
002334.SZ,0.0,-58.0,0.0,4,332862441.0,0.01,30,0.01,0.3000000000000001
002427.SZ,0.0,-60.0,0.0,4,27746436.0,0.01,31,0.01,0.3100000000000001
002429.SZ,0.01025270924792077,-62.0,0.0,4,173979909.0,0.01,32,-0.00025270924792076925,0.3200000000000001
002472.SZ,0.0,-64.0,0.0,4,163653972.0,0.01,33,0.01,0.3300000000000001
002476.SZ,0.0,-66.0,0.0,4,91342650.0,0.01,34,0.01,0.34000000000000014
002489.SZ,0.0,-68.0,0.0,4,48928154.0,0.01,35,0.01,0.35000000000000014
002545.SZ,0.0,-70.0,0.0,4,64385450.0,0.01,36,0.01,0.36000000000000015
002546.SZ,0.010090410910944916,-72.0,0.0,4,35556089.0,0.01,37,-9.041091094491582e-05,0.37000000000000016
002550.SZ,0.01005542425432485,-74.0,0.0,4,56040561.0,0.01,38,-5.542425432484947e-05,0.38000000000000017
002590.SZ,0.009946249423383622,-76.0,0.0,4,61276957.0,0.01,39,5.375057661637789e-05,0.3900000000000002
002669.SZ,0.009898727840879933,-78.0,0.0,4,90251495.0,0.01,40,0.00010127215912006729,0.4000000000000002
002783.SZ,0.010085302450048956,-80.0,0.0,4,47660974.0,0.01,41,-8.530245004895534e-05,0.4100000000000002
002850.SZ,0.009916702835891385,-82.0,0.0,4,522071321.0,0.01,42,8.329716410861512e-05,0.4200000000000002
002878.SZ,0.0,-84.0,0.0,4,154547168.0,0.01,43,0.01,0.4300000000000002
002882.SZ,0.009913181898547122,-86.0,0.0,4,196422899.0,0.01,44,8.681810145287801e-05,0.4400000000000002
002902.SZ,0.0,-88.0,0.0,4,490696986.0,0.01,45,0.01,0.45000000000000023
002982.SZ,0.00983020949664055,-90.0,0.0,4,57348574.0,0.01,46,0.00016979050335945087,0.46000000000000024
003032.SZ,0.0,-92.0,0.0,4,153663172.0,0.01,47,0.01,0.47000000000000025
300054.SZ,0.010019681353934372,-94.0,0.0,4,351961721.0,0.01,48,-1.9681353934371953e-05,0.48000000000000026
300057.SZ,0.009820169477210892,-96.0,0.0,4,66756806.0,0.01,49,0.00017983052278910776,0.49000000000000027
300101.SZ,0.0,-98.0,0.0,4,181592479.0,0.01,50,0.01,0.5000000000000002
300105.SZ,0.009847971438048572,-100.0,0.0,4,124424591.0,0.01,51,0.00015202856195142833,0.5100000000000002
300107.SZ,0.00989264826561173,-102.0,0.0,4,61220346.0,0.01,52,0.000107351734388271,0.5200000000000002
