,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
0,000767,2020-09-30,252,晋控电力,2020-10-23,,,,2020-10-23,204.771670608528,175362541.44,2.28,2020-10-09,2020-12-08,-46 days,1,2019-09-30,000767,2019-09-30,0.76,1.5199999999999998,0
2,300059,2020-09-30,201,东方财富,2020-10-22,,,,2020-10-22,143.662208376078,3397930965.42,14.26,2020-10-16,2020-12-08,-47 days,1,2019-09-30,300059,2019-09-30,6.71,7.55,1
4,605168,2020-09-30,412,三人行,2020-10-23,,,,2020-10-23,121.769861430399,182667948.92,20.67,2020-10-17,2020-12-08,-46 days,1,2019-09-30,605168,2019-09-30,,,2
3,600958,2020-09-30,3114,东方证券,2020-10-30,,,,2020-10-30,75.196058000562,3050882900.0,5.53,2020-10-27,2020-12-08,-39 days,1,2019-09-30,600958,2019-09-30,3.27,2.2600000000000002,3
1,003017,2020-09-30,3542,大洋生物,2020-10-31,,,,2020-10-31,38.618678806664,78014800.0,,2020-10-23,2020-12-08,-38 days,1,2019-09-30,003017,2019-09-30,,,4
