,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
8,002182,2019-12-31,297,云海金属,2020-03-18,,,,2020-03-18,169.542683943376,888149831.19,39.44,2020-02-27,2020-02-28,19 days,2,2018-12-31,002182,2018-12-31,18.04,21.4,0
38,300005,2019-12-31,149,探路者,2020-03-10,2020-03-20,,,2020-03-20,160.551761819718,110157400.0,4.63,2020-02-27,2020-02-28,11 days,2,2018-12-31,300005,2018-12-31,-7.79,12.42,1
39,300016,2019-12-31,182,北陆药业,2020-03-12,,,,2020-03-12,131.75006547696,342438300.0,25.39,2020-02-26,2020-02-28,13 days,2,2018-12-31,300016,2018-12-31,12.25,13.14,2
66,300345,2019-12-31,236,华民股份,2020-03-14,2020-03-24,,,2020-03-24,117.303665031623,49345000.0,10.47,2020-02-27,2020-02-28,15 days,2,2018-12-31,300345,2018-12-31,-63.87,74.34,3
3,002114,2019-12-31,264,罗平锌电,2020-03-17,,,,2020-03-17,109.460058366007,24385516.02,1.57,2020-02-27,2020-02-28,18 days,2,2018-12-31,002114,2018-12-31,-16.74,18.31,4
6,002163,2019-12-31,295,海南发展,2020-03-18,,,,2020-03-18,56.887098750306,51220500.0,7.29,2020-02-26,2020-02-28,19 days,2,2018-12-31,002163,2018-12-31,4.8,2.49,5
65,300342,2019-12-31,330,天银机电,2020-03-19,2020-03-25,,,2020-03-25,44.580460298656,140690451.1,10.24,2020-02-27,2020-02-28,20 days,2,2018-12-31,300342,2018-12-31,7.33,2.91,6
23,002736,2019-12-31,146,国信证券,2020-03-10,2020-03-20,,,2020-03-20,43.825965124812,4923733200.0,9.48,2020-02-20,2020-02-28,11 days,2,2018-12-31,002736,2018-12-31,6.53,2.95,7
15,002436,2019-12-31,169,兴森科技,2020-03-11,2020-03-31,,,2020-03-31,41.090621790145,302950934.76,11.5,2020-02-25,2020-02-28,12 days,2,2018-12-31,002436,2018-12-31,8.44,3.0600000000000005,8
101,300726,2019-12-31,214,宏达电子,2020-03-13,,,,2020-03-13,31.544377859745,293332955.02,17.78,2020-02-24,2020-02-28,14 days,2,2018-12-31,300726,2018-12-31,14.36,3.4200000000000017,9
44,300036,2019-12-31,210,超图软件,2020-03-13,2020-04-10,,,2020-04-10,28.668505231967,215664423.82,10.66,2020-02-26,2020-02-28,14 days,2,2018-12-31,300036,2018-12-31,8.66,2.0,10
47,300074,2019-12-31,300,华平股份,2020-03-18,,,,2020-03-18,24.016470728959,18393552.81,1.52,2020-02-27,2020-02-28,19 days,2,2018-12-31,300074,2018-12-31,1.23,0.29000000000000004,11
117,603058,2019-12-31,226,永吉股份,2020-03-13,2020-04-20,,,2020-04-20,22.438173946559,136595700.0,15.8,2020-02-04,2020-02-28,14 days,2,2018-12-31,603058,2018-12-31,11.97,3.83,12
13,002379,2019-12-31,353,宏创控股,2020-03-20,,,,2020-03-20,3669.30374683972,326065230.49,22.91,2020-02-27,2020-02-28,21 days,1,2018-12-31,002379,2018-12-31,0.69,22.22,13
77,300483,2019-12-31,1074,首华燃气,2020-03-31,2020-03-17,,,2020-03-17,1218.57953102083,74009814.07,4.87,2020-02-27,2020-02-28,32 days,1,2018-12-31,300483,2018-12-31,0.39,4.48,14
94,300598,2019-12-31,1647,诚迈科技,2020-04-15,,,,2020-04-15,945.680648829305,166450400.0,30.66,2020-02-25,2020-02-28,47 days,1,2018-12-31,300598,2018-12-31,3.45,27.21,15
4,002130,2019-12-31,2000,沃尔核材,2020-04-21,,,,2020-04-21,940.291602889706,213407500.0,7.85,2020-02-27,2020-02-28,53 days,1,2018-12-31,002130,2018-12-31,0.79,7.06,16
73,300417,2019-12-31,2852,南华仪器,2020-04-27,,,,2020-04-27,688.00820708351,219720146.43,47.68,2020-02-27,2020-02-28,59 days,1,2018-12-31,300417,2018-12-31,6.93,40.75,17
