,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
5,002736,2019-12-31,146,国信证券,2020-03-10,2020-03-20,,,2020-03-20,43.825965124812,4923733200.0,9.48,2020-02-20,2020-02-21,18 days,2,2018-12-31,002736,2018-12-31,6.53,2.95,0
13,300540,2019-12-31,2174,蜀道装备,2020-04-22,2020-04-30,,,2020-04-30,112.412714401932,14491884.31,2.62,2020-02-17,2020-02-21,61 days,1,2018-12-31,300540,2018-12-31,-21.75,24.37,1
4,002617,2019-12-31,3001,露笑科技,2020-04-28,,,,2020-04-28,104.133249599652,40974964.07,1.48,2020-01-23,2020-02-21,67 days,1,2018-12-31,002617,2018-12-31,-61.78,63.26,2
7,300019,2019-12-31,1043,硅宝科技,2020-03-31,,,,2020-03-31,102.083630808441,131620100.0,15.97,2020-01-20,2020-02-21,39 days,1,2018-12-31,300019,2018-12-31,8.59,7.380000000000001,3
16,300715,2019-12-31,1711,凯伦股份,2020-04-16,2020-04-23,,,2020-04-23,84.05417784116,119824492.68,24.39,2020-02-18,2020-02-21,55 days,1,2018-12-31,300715,2018-12-31,15.03,9.360000000000001,4
3,002616,2019-12-31,1020,长青集团,2020-03-31,2020-04-28,,,2020-04-28,77.211656389708,295611620.58,13.08,2020-02-12,2020-02-21,39 days,1,2018-12-31,002616,2018-12-31,7.89,5.19,5
11,300424,2019-12-31,1640,航新科技,2020-04-15,2020-04-28,,,2020-04-28,50.676710890384,75793115.87,7.64,2020-02-17,2020-02-21,54 days,1,2018-12-31,300424,2018-12-31,5.27,2.37,6
2,002582,2019-12-31,2591,好想你,2020-04-25,,,,2020-04-25,48.661256380987,192622682.74,5.76,2020-02-15,2020-02-21,64 days,1,2018-12-31,002582,2018-12-31,3.88,1.88,7
12,300529,2019-12-31,1243,健帆生物,2020-04-02,,,,2020-04-02,41.896717847007,570396365.4,30.28,2020-02-05,2020-02-21,41 days,1,2018-12-31,300529,2018-12-31,23.67,6.609999999999999,8
17,300755,2019-12-31,2472,华致酒行,2020-04-24,,,,2020-04-24,41.233518004069,317595674.39,13.83,2020-02-04,2020-02-21,63 days,1,2018-12-31,300755,2018-12-31,16.67,-2.8400000000000016,9
15,300703,2019-12-31,1880,创源股份,2020-04-18,,,,2020-04-18,39.283582304678,115961800.0,17.06,2020-02-19,2020-02-21,57 days,1,2018-12-31,300703,2018-12-31,13.04,4.02,10
19,601366,2019-12-31,1473,利群股份,2020-04-10,2020-04-29,,,2020-04-29,37.453359847225,277760361.6,5.9,2020-01-16,2020-02-21,49 days,1,2018-12-31,601366,2018-12-31,4.42,1.4800000000000004,11
10,300321,2019-12-31,2170,同大股份,2020-04-22,,,,2020-04-22,36.916196151148,39429400.0,6.23,2020-02-20,2020-02-21,61 days,1,2018-12-31,300321,2018-12-31,4.67,1.5600000000000005,12
9,300263,2019-12-31,3087,隆华科技,2020-04-28,,,,2020-04-28,32.26752854129,179672974.88,6.73,2020-01-16,2020-02-21,67 days,1,2018-12-31,300263,2018-12-31,5.24,1.4900000000000002,13
14,300590,2019-12-31,3127,移为通信,2020-04-28,,,,2020-04-28,29.114295872482,160876800.0,17.37,2020-02-20,2020-02-21,67 days,1,2018-12-31,300590,2018-12-31,14.42,2.950000000000001,14
1,002392,2019-12-31,2800,北京利尔,2020-04-27,,,,2020-04-27,26.061451347714,419884840.95,11.56,2020-01-17,2020-02-21,66 days,1,2018-12-31,002392,2018-12-31,9.68,1.8800000000000008,15
8,300212,2019-12-31,2045,易华录,2020-04-21,,,,2020-04-21,25.773834990587,380400700.0,11.84,2020-02-17,2020-02-21,60 days,1,2018-12-31,300212,2018-12-31,10.01,1.83,16
20,603058,2019-12-31,226,永吉股份,2020-03-13,2020-04-20,,,2020-04-20,22.438173946559,136595700.0,15.8,2020-02-04,2020-02-21,21 days,1,2018-12-31,603058,2018-12-31,11.97,3.83,17
6,002802,2019-12-31,3404,洪汇新材,2020-04-29,2020-04-20,,,2020-04-20,21.157388225921,88930005.14,15.1,2020-02-19,2020-02-21,68 days,1,2018-12-31,002802,2018-12-31,11.97,3.129999999999999,18
0,002146,2019-12-31,1386,荣盛发展,2020-04-10,2020-04-08,,,2020-04-08,20.324261132612,9102055694.05,24.44,2020-02-19,2020-02-21,49 days,1,2018-12-31,002146,2018-12-31,22.52,1.9200000000000017,19
18,600325,2019-12-31,1791,华发股份,2020-04-17,,,,2020-04-17,20.008034622156,2741420100.0,21.36,2020-01-20,2020-02-21,56 days,1,2018-12-31,600325,2018-12-31,15.36,6.0,20
