,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
20,300016,2019-12-31,182,北陆药业,2020-03-12,,,,2020-03-12,131.75006547696,342438300.0,25.39,2020-02-26,2020-02-27,14 days,2,2018-12-31,300016,2018-12-31,12.25,13.14,0
3,002163,2019-12-31,295,海南发展,2020-03-18,,,,2020-03-18,56.887098750306,51220500.0,7.29,2020-02-26,2020-02-27,20 days,2,2018-12-31,002163,2018-12-31,4.8,2.49,1
12,002736,2019-12-31,146,国信证券,2020-03-10,2020-03-20,,,2020-03-20,43.825965124812,4923733200.0,9.48,2020-02-20,2020-02-27,12 days,2,2018-12-31,002736,2018-12-31,6.53,2.95,2
7,002436,2019-12-31,169,兴森科技,2020-03-11,2020-03-31,,,2020-03-31,41.090621790145,302950934.76,11.5,2020-02-25,2020-02-27,13 days,2,2018-12-31,002436,2018-12-31,8.44,3.0600000000000005,3
57,300726,2019-12-31,214,宏达电子,2020-03-13,,,,2020-03-13,31.544377859745,293332955.02,17.78,2020-02-24,2020-02-27,15 days,2,2018-12-31,300726,2018-12-31,14.36,3.4200000000000017,4
24,300036,2019-12-31,210,超图软件,2020-03-13,2020-04-10,,,2020-04-10,28.668505231967,215664423.82,10.66,2020-02-26,2020-02-27,15 days,2,2018-12-31,300036,2018-12-31,8.66,2.0,5
66,603058,2019-12-31,226,永吉股份,2020-03-13,2020-04-20,,,2020-04-20,22.438173946559,136595700.0,15.8,2020-02-04,2020-02-27,15 days,2,2018-12-31,603058,2018-12-31,11.97,3.83,6
52,300598,2019-12-31,1647,诚迈科技,2020-04-15,,,,2020-04-15,945.680648829305,166450400.0,30.66,2020-02-25,2020-02-27,48 days,1,2018-12-31,300598,2018-12-31,3.45,27.21,7
42,300508,2019-12-31,1778,维宏股份,2020-04-17,,,,2020-04-17,342.935491182784,66618693.96,13.23,2020-02-26,2020-02-27,50 days,1,2018-12-31,300508,2018-12-31,-5.83,19.060000000000002,8
29,300223,2019-12-31,1213,北京君正,2020-04-01,,,,2020-04-01,318.983529899226,56627300.0,4.78,2020-02-26,2020-02-27,34 days,1,2018-12-31,300223,2018-12-31,1.18,3.6000000000000005,9
14,002850,2019-12-31,603,科达利,2020-03-26,2020-04-09,,,2020-04-09,190.480991654903,239028743.38,10.0,2020-02-26,2020-02-27,28 days,1,2018-12-31,002850,2018-12-31,3.59,6.41,10
49,300573,2019-12-31,1963,兴齐眼药,2020-04-20,,,,2020-04-20,182.504191467709,38586400.0,6.92,2020-02-26,2020-02-27,53 days,1,2018-12-31,300573,2018-12-31,2.5,4.42,11
34,300366,2019-12-31,2848,创意信息,2020-04-27,2020-04-29,,,2020-04-29,132.117484085972,124063000.0,5.13,2020-02-26,2020-02-27,60 days,1,2018-12-31,300366,2018-12-31,-16.13,21.259999999999998,12
8,002500,2019-12-31,2985,山西证券,2020-04-28,,,,2020-04-28,130.19929826017,510497100.0,4.06,2020-02-25,2020-02-27,61 days,1,2018-12-31,002500,2018-12-31,1.78,2.2799999999999994,13
1,002107,2019-12-31,351,沃华医药,2020-03-20,2020-03-28,2020-04-29,,2020-04-29,123.321687129667,101949700.0,16.11,2020-02-25,2020-02-27,22 days,1,2018-12-31,002107,2018-12-31,7.68,8.43,14
33,300337,2019-12-31,2432,银邦股份,2020-04-24,2020-04-29,,,2020-04-29,121.579050284593,15946708.85,0.73,2020-02-24,2020-02-27,57 days,1,2018-12-31,300337,2018-12-31,-5.15,5.880000000000001,15
46,300540,2019-12-31,2174,蜀道装备,2020-04-22,2020-04-30,,,2020-04-30,112.412714401932,14491884.31,2.62,2020-02-17,2020-02-27,55 days,1,2018-12-31,300540,2018-12-31,-21.75,24.37,16
25,300077,2019-12-31,2404,国民技术,2020-04-24,,,,2020-04-24,106.68579589821,107926089.8,9.46,2020-02-26,2020-02-27,57 days,1,2018-12-31,300077,2018-12-31,-88.16,97.62,17
4,002216,2019-12-31,1616,三全食品,2020-04-15,2020-04-28,,,2020-04-28,106.685116031124,210616625.02,9.89,2020-02-24,2020-02-27,48 days,1,2018-12-31,002216,2018-12-31,4.94,4.95,18
11,002617,2019-12-31,3001,露笑科技,2020-04-28,,,,2020-04-28,104.133249599652,40974964.07,1.48,2020-01-23,2020-02-27,61 days,1,2018-12-31,002617,2018-12-31,-61.78,63.26,19
22,300032,2019-12-31,3054,金龙机电,2020-04-28,,,,2020-04-28,102.330558032293,55935991.23,3.86,2020-02-25,2020-02-27,61 days,1,2018-12-31,300032,2018-12-31,-169.1,172.96,20
21,300019,2019-12-31,1043,硅宝科技,2020-03-31,,,,2020-03-31,102.083630808441,131620100.0,15.97,2020-01-20,2020-02-27,33 days,1,2018-12-31,300019,2018-12-31,8.59,7.380000000000001,21
44,300528,2019-12-31,1337,幸福蓝海,2020-04-08,,,,2020-04-08,101.379753125488,7336221.69,0.54,2020-02-25,2020-02-27,41 days,1,2018-12-31,300528,2018-12-31,-39.17,39.71,22
0,002100,2019-12-31,2356,天康生物,2020-04-24,,,,2020-04-24,101.262382652204,631412931.27,16.01,2020-02-26,2020-02-27,57 days,1,2018-12-31,002100,2018-12-31,9.77,6.240000000000002,23
40,300493,2019-12-31,1705,润欣科技,2020-04-16,,,,2020-04-16,97.313088662847,31128225.77,4.24,2020-02-24,2020-02-27,49 days,1,2018-12-31,300493,2018-12-31,2.17,2.0700000000000003,24
54,300697,2019-12-31,1879,电工合金,2020-04-18,,,,2020-04-18,92.853614561253,127939787.11,16.06,2020-02-26,2020-02-27,51 days,1,2018-12-31,300697,2018-12-31,8.82,7.239999999999998,25
56,300715,2019-12-31,1711,凯伦股份,2020-04-16,2020-04-23,,,2020-04-23,84.05417784116,119824492.68,24.39,2020-02-18,2020-02-27,49 days,1,2018-12-31,300715,2018-12-31,15.03,9.360000000000001,26
10,002616,2019-12-31,1020,长青集团,2020-03-31,2020-04-28,,,2020-04-28,77.211656389708,295611620.58,13.08,2020-02-12,2020-02-27,33 days,1,2018-12-31,002616,2018-12-31,7.89,5.19,27
18,002939,2019-12-31,2033,长城证券,2020-04-21,,,,2020-04-21,69.398572442743,992167100.0,5.95,2020-02-22,2020-02-27,54 days,1,2018-12-31,002939,2018-12-31,3.54,2.41,28
26,300105,2019-12-31,1212,龙源技术,2020-04-01,,,,2020-04-01,67.653829552539,13983000.0,0.7,2020-02-26,2020-02-27,34 days,1,2018-12-31,300105,2018-12-31,0.43,0.26999999999999996,29
53,300630,2019-12-31,2064,普利制药,2020-04-21,2020-04-28,2020-04-21,,2020-04-21,65.467931231959,300204000.0,29.79,2020-02-26,2020-02-27,54 days,1,2018-12-31,300630,2018-12-31,20.54,9.25,30
