,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
226,300464,2019-12-31,1777,星徽股份,2020-04-17,2020-04-28,2020-04-30,,2020-04-30,7889.33004357452,163304811.81,11.87,2020-02-28,2020-04-07,10 days,3,2018-12-31,300464,2018-12-31,0.4,11.469999999999999,0
269,300598,2019-12-31,1647,诚迈科技,2020-04-15,,,,2020-04-15,945.680648829305,166450400.0,30.66,2020-02-25,2020-04-07,8 days,3,2018-12-31,300598,2018-12-31,3.45,27.21,1
239,300508,2019-12-31,1778,维宏股份,2020-04-17,,,,2020-04-17,342.935491182784,66618693.96,13.23,2020-02-26,2020-04-07,10 days,3,2018-12-31,300508,2018-12-31,-5.83,19.060000000000002,2
253,300548,2019-12-31,1779,博创科技,2020-04-17,,,,2020-04-17,231.429986080759,7725740.16,1.27,2020-02-29,2020-04-07,10 days,3,2018-12-31,300548,2018-12-31,0.38,0.89,3
156,300162,2019-12-31,1575,雷曼光电,2020-04-14,2020-04-25,,,2020-04-25,212.949997043336,41202779.0,3.91,2020-02-28,2020-04-07,7 days,3,2018-12-31,300162,2018-12-31,-3.53,7.4399999999999995,4
135,300055,2019-12-31,1633,万邦达,2020-04-15,2020-04-29,,,2020-04-29,181.99727998517,74086598.45,1.31,2020-02-27,2020-04-07,8 days,3,2018-12-31,300055,2018-12-31,-1.4,2.71,5
172,300235,2019-12-31,1335,方直科技,2020-04-08,,,,2020-04-08,163.334266275353,32432397.15,5.31,2020-02-28,2020-04-07,1 days,3,2018-12-31,300235,2018-12-31,2.07,3.2399999999999998,6
223,300447,2019-12-31,1427,全信股份,2020-04-10,2020-04-25,,,2020-04-25,157.833634638207,146032747.95,12.49,2020-02-28,2020-04-07,3 days,3,2018-12-31,300447,2018-12-31,-20.37,32.86,7
185,300275,2019-12-31,1419,梅安森,2020-04-10,2020-04-18,,,2020-04-18,140.222566877317,23984907.3,4.89,2020-02-29,2020-04-07,3 days,3,2018-12-31,300275,2018-12-31,-12.4,17.29,8
158,300187,2019-12-31,1417,永清环保,2020-04-10,2020-03-31,,,2020-03-31,138.76509258587,64600366.97,4.39,2020-02-28,2020-04-07,3 days,3,2018-12-31,300187,2018-12-31,-11.59,15.98,9
23,002184,2019-12-31,1500,海得控制,2020-04-11,2020-04-25,,,2020-04-25,131.688786821109,50561504.26,5.36,2020-02-29,2020-04-07,4 days,3,2018-12-31,002184,2018-12-31,-17.28,22.64,10
228,300475,2019-12-31,1428,香农芯创,2020-04-10,2020-04-22,,,2020-04-22,111.658470126221,70724911.97,5.63,2020-02-29,2020-04-07,3 days,3,2018-12-31,300475,2018-12-31,2.74,2.8899999999999997,11
194,300314,2019-12-31,1422,戴维医疗,2020-04-10,,,,2020-04-10,110.049791798158,60520888.0,7.35,2020-02-29,2020-04-07,3 days,3,2018-12-31,300314,2018-12-31,3.63,3.7199999999999998,12
149,300116,2019-12-31,1414,保力新,2020-04-10,2020-04-30,,,2020-05-01,107.168340138663,281349838.85,68.94,2020-02-28,2020-04-07,3 days,3,2018-12-31,300116,2018-12-31,-1560.74,1629.68,13
27,002216,2019-12-31,1616,三全食品,2020-04-15,2020-04-28,,,2020-04-28,106.685116031124,210616625.02,9.89,2020-02-24,2020-04-07,8 days,3,2018-12-31,002216,2018-12-31,4.94,4.95,14
70,002628,2019-12-31,1764,成都路桥,2020-04-17,,,,2020-04-17,106.490593673942,44034611.23,1.61,2020-02-28,2020-04-07,10 days,3,2018-12-31,002628,2018-12-31,0.79,0.8200000000000001,15
245,300528,2019-12-31,1337,幸福蓝海,2020-04-08,,,,2020-04-08,101.379753125488,7336221.69,0.54,2020-02-25,2020-04-07,1 days,3,2018-12-31,300528,2018-12-31,-39.17,39.71,16
236,300493,2019-12-31,1705,润欣科技,2020-04-16,,,,2020-04-16,97.313088662847,31128225.77,4.24,2020-02-24,2020-04-07,9 days,3,2018-12-31,300493,2018-12-31,2.17,2.0700000000000003,17
139,300066,2019-12-31,1411,三川智慧,2020-04-10,,,,2020-04-10,96.970246632095,192640873.19,11.47,2020-02-29,2020-04-07,3 days,3,2018-12-31,300066,2018-12-31,6.12,5.3500000000000005,18
276,300638,2019-12-31,1650,广和通,2020-04-15,,,,2020-04-15,95.869898579327,170009000.0,29.75,2020-02-27,2020-04-07,8 days,3,2018-12-31,300638,2018-12-31,19.36,10.39,19
60,002552,2019-12-31,1623,宝鼎科技,2020-04-15,,,,2020-04-15,95.423906948929,56068435.24,8.84,2020-02-29,2020-04-07,8 days,3,2018-12-31,002552,2018-12-31,4.73,4.109999999999999,20
293,300715,2019-12-31,1711,凯伦股份,2020-04-16,2020-04-23,,,2020-04-23,84.05417784116,119824492.68,24.39,2020-02-18,2020-04-07,9 days,3,2018-12-31,300715,2018-12-31,15.03,9.360000000000001,21
287,300690,2019-12-31,1338,双一科技,2020-04-08,,,,2020-04-08,79.297394249504,157543600.0,16.42,2020-02-27,2020-04-07,1 days,3,2018-12-31,300690,2018-12-31,9.62,6.8000000000000025,22
165,300214,2019-12-31,1512,日科化学,2020-04-11,2020-04-21,,,2020-04-21,75.488851758812,180345987.22,10.64,2020-02-28,2020-04-07,4 days,3,2018-12-31,300214,2018-12-31,6.34,4.300000000000001,23
36,002300,2019-12-31,1389,太阳电缆,2020-04-10,,,,2020-04-10,73.953508857158,196298237.65,13.68,2020-02-28,2020-04-07,3 days,3,2018-12-31,002300,2018-12-31,8.44,5.24,24
2,000703,2019-12-31,1749,恒逸石化,2020-04-17,2020-04-28,,,2020-04-28,70.898045658042,3202308600.0,14.86,2020-03-30,2020-04-07,10 days,3,2018-12-31,000703,2018-12-31,11.02,3.84,25
11,002112,2019-12-31,1694,三变科技,2020-04-16,,,,2020-04-16,64.616672555705,10347852.5,2.66,2020-02-28,2020-04-07,9 days,3,2018-12-31,002112,2018-12-31,1.63,1.0300000000000002,26
89,002803,2019-12-31,1627,吉宏股份,2020-04-15,,,,2020-04-15,52.271372421587,324596497.03,28.33,2020-02-27,2020-04-07,8 days,3,2018-12-31,002803,2018-12-31,30.99,-2.66,27
329,603326,2019-12-31,1596,我乐家居,2020-04-14,,,,2020-04-14,51.395544783917,154167900.0,17.3,2020-03-10,2020-04-07,7 days,3,2018-12-31,603326,2018-12-31,12.3,5.0,28
222,300424,2019-12-31,1640,航新科技,2020-04-15,2020-04-28,,,2020-04-28,50.676710890384,75793115.87,7.64,2020-02-17,2020-04-07,8 days,3,2018-12-31,300424,2018-12-31,5.27,2.37,29
196,300317,2019-12-31,1771,珈伟新能,2020-04-17,2020-04-28,,,2020-04-28,46.08480794234,-1072746134.8,-43.75,2020-02-27,2020-04-07,10 days,3,2018-12-31,300317,2018-12-31,-66.6,22.849999999999994,30
310,300806,2019-12-31,1444,斯迪克,2020-04-10,,,,2020-04-10,45.844306105156,111644002.45,14.62,2020-02-25,2020-04-07,3 days,3,2018-12-31,300806,2018-12-31,11.19,3.4299999999999997,31
127,300029,2019-12-31,1632,ST天龙,2020-04-15,2020-04-28,2020-04-29,,2020-04-29,44.29909299044,-75686979.56,-93.12,2020-02-27,2020-04-07,8 days,3,2018-12-31,300029,2018-12-31,-114.07,20.94999999999999,32
267,300595,2019-12-31,1433,欧普康视,2020-04-10,,,,2020-04-10,41.86444898544,306771971.8,26.12,2020-02-25,2020-04-07,3 days,3,2018-12-31,300595,2018-12-31,21.12,5.0,33
52,002493,2019-12-31,1504,荣盛石化,2020-04-11,2020-04-23,,,2020-04-23,38.273158888676,2222785000.0,10.27,2020-02-29,2020-04-07,4 days,3,2018-12-31,002493,2018-12-31,7.68,2.59,34
330,603345,2019-12-31,1597,安井食品,2020-04-14,,,,2020-04-14,38.14434668128,373343800.0,15.44,2020-02-22,2020-04-07,7 days,3,2018-12-31,603345,2018-12-31,13.2,2.24,35
323,601366,2019-12-31,1473,利群股份,2020-04-10,2020-04-29,,,2020-04-29,37.453359847225,277760361.6,5.9,2020-01-16,2020-04-07,3 days,3,2018-12-31,601366,2018-12-31,4.42,1.4800000000000004,36
78,002724,2019-12-31,1571,海洋王,2020-04-14,,,,2020-04-14,35.645846867554,257660100.0,12.98,2020-02-27,2020-04-07,7 days,3,2018-12-31,002724,2018-12-31,10.0,2.9800000000000004,37
249,300538,2019-12-31,1430,同益股份,2020-04-10,2020-04-17,,,2020-04-17,33.482324792617,40614400.0,9.18,2020-02-28,2020-04-07,3 days,3,2018-12-31,300538,2018-12-31,7.16,2.0199999999999996,38
126,300021,2019-12-31,1408,大禹节水,2020-04-10,,,,2020-04-10,32.004697945871,132269725.56,9.04,2020-02-29,2020-04-07,3 days,3,2018-12-31,300021,2018-12-31,6.95,2.089999999999999,39
311,300807,2019-12-31,1712,天迈科技,2020-04-16,2020-04-27,,,2020-04-27,31.670611903687,76705900.0,19.98,2020-02-28,2020-04-07,9 days,3,2018-12-31,300807,2018-12-31,16.86,3.120000000000001,40
9,002106,2019-12-31,1498,莱宝高科,2020-04-11,,,,2020-04-11,26.986531073487,285652900.0,7.26,2020-02-28,2020-04-07,4 days,3,2018-12-31,002106,2018-12-31,5.86,1.3999999999999995,41
294,300724,2019-12-31,1439,捷佳伟创,2020-04-10,2020-04-24,,,2020-04-24,26.614556689936,387683201.32,16.24,2020-02-28,2020-04-07,3 days,3,2018-12-31,300724,2018-12-31,13.75,2.4899999999999984,42
154,300150,2019-12-31,1415,世纪瑞尔,2020-04-10,2020-04-25,,,2020-04-25,24.280262783191,109664158.77,5.45,2020-02-24,2020-04-07,3 days,3,2018-12-31,300150,2018-12-31,4.43,1.0200000000000005,43
97,002878,2019-12-31,1629,元隆雅图,2020-04-15,,,,2020-04-15,24.144606802951,116130700.0,18.0,2020-02-26,2020-04-07,8 days,3,2018-12-31,002878,2018-12-31,15.46,2.539999999999999,44
179,300257,2019-12-31,1770,开山股份,2020-04-17,2020-04-29,,,2020-04-29,24.095002795052,152366251.85,4.3,2020-02-27,2020-04-07,10 days,3,2018-12-31,300257,2018-12-31,3.44,0.8599999999999999,45
7,002019,2019-12-31,1609,亿帆医药,2020-04-15,,,,2020-04-15,23.542253909518,911045930.8,12.94,2020-02-28,2020-04-07,8 days,3,2018-12-31,002019,2018-12-31,11.13,1.8099999999999987,46
91,002811,2019-12-31,1507,郑中设计,2020-04-11,2020-04-29,,,2020-04-29,23.186380708441,140728457.46,9.6,2020-03-07,2020-04-07,4 days,3,2018-12-31,002811,2018-12-31,8.15,1.4499999999999993,47
212,300383,2019-12-31,1773,光环新网,2020-04-17,,,,2020-04-17,23.080956784334,821506800.0,10.37,2020-02-24,2020-04-07,10 days,3,2018-12-31,300383,2018-12-31,8.9,1.4699999999999989,48
