,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance,tier
593,688599,2022-12-31,4879,天合光能,2023-04-29,2023-04-25,,,2023-04-25,105.684646822246,3711027600.0,2023-02-24,2023-03-01,59 days,1
596,688606,2022-12-31,4881,奥泰生物,2023-04-29,,,,2023-04-29,69.733490977863,1299630500.0,2023-02-28,2023-03-01,59 days,1
603,688617,2022-12-31,1206,惠泰医疗,2023-04-07,,,,2023-04-07,71.885754733338,357386744.25,2023-02-24,2023-03-01,37 days,1
604,688618,2022-12-31,586,三旺通信,2023-03-29,,,,2023-03-29,59.405001975128,96316286.5,2023-02-28,2023-03-01,28 days,1
606,688621,2022-12-31,101,阳光诺和,2023-03-11,,,,2023-03-11,49.796143188116,158278200.0,2023-02-10,2023-03-01,10 days,3
608,688625,2022-12-31,2994,呈和科技,2023-04-25,,,,2023-04-25,24.959966977662,196220874.9,2023-02-28,2023-03-01,55 days,1
611,688630,2022-12-31,2061,芯碁微装,2023-04-20,,,,2023-04-20,28.721097528534,136646827.34,2023-02-25,2023-03-01,50 days,1
614,688639,2022-12-31,3416,华恒生物,2023-04-26,,,,2023-04-26,89.592862386357,318962500.0,2023-02-28,2023-03-01,56 days,1
624,688668,2022-12-31,3419,鼎通科技,2023-04-26,2023-04-19,,,2023-04-19,53.95975820554,168401738.35,2023-02-28,2023-03-01,56 days,1
627,688676,2022-12-31,253,金盘科技,2023-03-21,,,,2023-03-21,20.379733131473,282431800.0,2023-02-27,2023-03-01,20 days,2
628,688677,2022-12-31,2284,海泰新光,2023-04-21,,,,2023-04-21,55.028081229342,182515328.49,2023-02-25,2023-03-01,51 days,1
638,688690,2022-12-31,3421,纳微科技,2023-04-26,,,,2023-04-26,46.411898152849,275385700.0,2023-02-28,2023-03-01,56 days,1
640,688697,2022-12-31,1669,纽威数控,2023-04-15,,,,2023-04-15,53.739537549827,259116488.24,2023-02-28,2023-03-01,45 days,1
643,688700,2022-12-31,4885,东威科技,2023-04-29,2023-04-08,,,2023-04-08,34.302285828658,216063100.0,2023-01-12,2023-03-01,59 days,1
645,688707,2022-12-31,4351,振华新材,2023-04-28,,,,2023-04-28,208.367581303178,1272260500.0,2023-02-25,2023-03-01,58 days,1
648,688722,2022-12-31,1095,同益中,2023-03-31,,,,2023-03-31,226.743882774678,171631700.0,2023-02-23,2023-03-01,30 days,1
650,688733,2022-12-31,749,壹石通,2023-03-30,,,,2023-03-30,35.848395736257,146995300.0,2023-02-28,2023-03-01,29 days,1
655,688768,2022-12-31,3834,容知日新,2023-04-27,2023-04-11,,,2023-04-11,42.602187467302,115843600.0,2023-02-23,2023-03-01,57 days,1
658,688777,2022-12-31,3835,中控技术,2023-04-27,,,,2023-04-27,36.765539190269,795517000.0,2023-02-24,2023-03-01,57 days,1
659,688779,2022-12-31,2997,长远锂科,2023-04-25,,,,2023-04-25,112.591280881069,1489498700.0,2023-02-28,2023-03-01,55 days,1
666,688800,2022-12-31,1356,瑞可达,2023-04-11,,,,2023-04-11,123.751229536991,254772100.0,2023-02-28,2023-03-01,41 days,1
667,688819,2022-12-31,416,天能股份,2023-03-25,,,,2023-03-25,38.91675986066,1902278600.0,2023-02-28,2023-03-01,24 days,1
