,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
354,688063,2022-12-31,1433,派能科技,2023-04-12,,,,2023-04-12,302.134100153678,1271468000.0,34.97,2023-02-28,2023-03-15,28 days,1,2021-12-31,11.1
356,688066,2022-12-31,2503,航天宏图,2023-04-22,,,,2023-04-22,34.335785716699,268608999.02,11.12,2023-02-25,2023-03-15,38 days,1,2021-12-31,11.41
361,688072,2022-12-31,1810,拓荆科技,2023-04-18,,,,2023-04-18,438.087944339395,368517600.0,13.13,2023-02-27,2023-03-15,34 days,1,2021-12-31,5.92
362,688075,2022-12-31,4850,安旭生物,2023-04-29,,,,2023-04-29,309.644761466179,3025334300.0,76.39,2023-02-28,2023-03-15,45 days,1,2021-12-31,58.16
365,688078,2022-12-31,581,龙软科技,2023-03-29,,,,2023-03-29,28.189181348202,80859300.0,13.53,2023-02-23,2023-03-15,14 days,2,2021-12-31,11.78
375,688091,2022-12-31,40,上海谊众,2023-03-01,,,,2023-03-01,3674.00783402116,142854906.22,11.46,2023-02-28,2023-03-15,-14 days,1,2021-12-31,-0.84
380,688097,2022-12-31,2035,博众精工,2023-04-20,,,,2023-04-20,84.947576953515,357561000.0,13.34,2023-02-28,2023-03-15,36 days,1,2021-12-31,9.15
384,688102,2022-12-31,3368,斯瑞新材,2023-04-26,,,,2023-04-26,22.92234171162,77886300.0,8.9,2023-02-28,2023-03-15,42 days,1,2021-12-31,11.41
387,688106,2022-12-31,1434,金宏气体,2023-04-12,,,,2023-04-12,37.453375972729,229640013.21,8.37,2023-02-28,2023-03-15,28 days,1,2021-12-31,6.1
388,688107,2022-12-31,3370,安路科技,2023-04-26,2023-04-25,,,2023-04-25,294.827077613285,60102400.0,3.86,2023-02-27,2023-03-15,42 days,1,2021-12-31,-7.42
393,688112,2022-12-31,3810,鼎阳科技,2023-04-27,,,,2023-04-27,73.536149817724,140665800.0,9.62,2023-02-28,2023-03-15,43 days,1,2021-12-31,27.33
395,688114,2022-12-31,2977,华大智造,2023-04-25,,,,2023-04-25,315.886154461412,2011221700.0,33.12,2023-02-25,2023-03-15,41 days,1,2021-12-31,12.78
397,688116,2022-12-31,2037,天奈科技,2023-04-20,,,,2023-04-20,38.920898516712,411043600.0,18.05,2023-02-25,2023-03-15,36 days,1,2021-12-31,16.28
401,688120,2022-12-31,2978,华海清科,2023-04-25,,,,2023-04-25,159.965845709556,515451700.0,16.65,2023-02-28,2023-03-15,41 days,1,2021-12-31,27.98
403,688122,2022-12-31,513,西部超导,2023-03-28,,,,2023-03-28,46.048080397163,1082915700.0,19.21,2023-02-28,2023-03-15,13 days,2,2021-12-31,24.09
404,688123,2022-12-31,1519,聚辰股份,2023-04-14,,,,2023-04-14,228.039286073909,355106062.52,20.68,2023-02-28,2023-03-15,30 days,1,2021-12-31,7.25
406,688126,2022-12-31,1352,沪硅产业,2023-04-11,,,,2023-04-11,122.453193568787,325031700.0,2.29,2023-02-28,2023-03-15,27 days,1,2021-12-31,1.47
417,688138,2022-12-31,4301,清溢光电,2023-04-28,,,,2023-04-28,115.593431224144,95994700.0,7.75,2023-02-28,2023-03-15,44 days,1,2021-12-31,3.75
424,688153,2022-12-31,3814,唯捷创芯,2023-04-27,,,,2023-04-27,180.632567629983,55165900.0,1.9,2023-02-27,2023-03-15,43 days,1,2021-12-31,-8.25
428,688158,2022-12-31,4909,优刻得,2023-06-30,2023-04-27,,,2023-04-27,34.535591316822,-414560700.0,-13.28,2023-02-28,2023-03-15,107 days,1,2021-12-31,-21.49
430,688160,2022-12-31,1071,步科股份,2023-03-31,,,,2023-03-31,21.857377858861,91040500.0,13.31,2023-02-11,2023-03-15,16 days,2,2021-12-31,11.81
436,688167,2022-12-31,3374,炬光科技,2023-04-26,,,,2023-04-26,87.560358669217,127093900.0,5.31,2023-02-27,2023-03-15,42 days,1,2021-12-31,9.67
451,688184,2022-12-31,1521,帕瓦股份,2023-04-14,,,,2023-04-14,77.054983878959,147939000.0,7.98,2023-02-28,2023-03-15,30 days,1,2021-12-31,7.97
454,688187,2022-12-31,1073,时代电气,2023-03-31,,,,2023-03-31,26.670465721575,2555823400.0,7.61,2023-02-28,2023-03-15,16 days,2,2021-12-31,7.56
456,688190,2022-12-31,1074,云路股份,2023-03-31,,,,2023-03-31,89.315192266581,226705700.0,11.82,2023-02-28,2023-03-15,16 days,2,2021-12-31,20.1
460,688196,2022-12-31,1075,卓越新能,2023-03-31,,,,2023-03-31,30.64228059208,450396682.47,17.3,2023-02-21,2023-03-15,16 days,2,2021-12-31,14.79
462,688198,2022-12-31,2040,佰仁医疗,2023-04-20,,,,2023-04-20,86.997980397748,95739600.0,9.33,2023-02-28,2023-03-15,36 days,1,2021-12-31,5.65
466,688202,2022-12-31,3380,美迪西,2023-04-26,,,,2023-04-26,28.601825011365,362943800.0,24.74,2023-02-21,2023-03-15,42 days,1,2021-12-31,22.66
467,688203,2022-12-31,112,海正生材,2023-03-14,,,,2023-03-14,33.589984918412,47123600.0,5.08,2023-02-21,2023-03-15,-1 days,1,2021-12-31,5.54
469,688206,2022-12-31,1271,概伦电子,2023-04-08,,,,2023-04-08,55.731945211609,44546500.0,2.09,2023-02-28,2023-03-15,24 days,1,2021-12-31,2.91
470,688207,2022-12-31,2041,格灵深瞳,2023-04-20,,,,2023-04-20,148.22860166302,32996900.0,1.73,2023-02-27,2023-03-15,36 days,1,2021-12-31,-11.8
473,688210,2022-12-31,2042,统联精密,2023-04-20,,,,2023-04-20,98.513031281902,94169224.63,8.07,2023-02-28,2023-03-15,36 days,1,2021-12-31,14.63
478,688218,2022-12-31,4860,江苏北人,2023-04-29,,,,2023-04-29,57.239842906686,34231900.0,4.04,2023-02-28,2023-03-15,45 days,1,2021-12-31,2.56
480,688220,2022-12-31,4308,翱捷科技,2023-04-28,,,,2023-04-28,57.963713953267,-247759600.0,-3.52,2023-02-28,2023-03-15,44 days,1,2021-12-31,-41.52
483,688223,2022-12-31,2508,晶科能源,2023-04-22,2023-04-29,,,2023-04-29,158.205452747519,2947182600.0,12.19,2023-02-28,2023-03-15,38 days,1,2021-12-31,8.76
488,688231,2022-12-31,3383,隆达股份,2023-04-26,,,,2023-04-26,36.31107260801,95701375.21,6.51,2023-02-28,2023-03-15,42 days,1,2021-12-31,15.06
495,688239,2022-12-31,1661,航宇科技,2023-04-15,,,,2023-04-15,31.969053605423,183358800.0,16.01,2023-02-28,2023-03-15,31 days,1,2021-12-31,17.44
497,688246,2022-12-31,4310,嘉和美康,2023-04-28,,,,2023-04-28,29.574570531198,64316800.0,3.64,2023-02-28,2023-03-15,44 days,1,2021-12-31,10.57
499,688248,2022-12-31,4864,南网科技,2023-04-29,2023-04-21,,,2023-04-21,43.82056249349,205718200.0,8.19,2023-02-25,2023-03-15,45 days,1,2021-12-31,10.29
501,688253,2022-12-31,1079,英诺特,2023-03-31,,,,2023-03-31,25.306272473564,150683800.0,11.77,2023-02-21,2023-03-15,16 days,2,2021-12-31,16.52
506,688261,2022-12-31,2048,东微半导,2023-04-20,,,,2023-04-20,93.566465650627,284356300.0,11.22,2023-02-28,2023-03-15,36 days,1,2021-12-31,29.84
511,688268,2022-12-31,4315,华特气体,2023-04-28,,,,2023-04-28,54.745233346969,200117000.0,13.72,2023-02-24,2023-03-15,44 days,1,2021-12-31,9.83
512,688269,2022-12-31,412,凯立新材,2023-03-25,,,,2023-03-25,36.019328783093,221106900.0,24.62,2023-02-28,2023-03-15,10 days,3,2021-12-31,27.01
518,688278,2022-12-31,1080,特宝生物,2023-03-31,,,,2023-03-31,58.513198050783,287227500.0,22.42,2023-02-28,2023-03-15,16 days,2,2021-12-31,16.79
521,688281,2022-12-31,2267,华秦科技,2023-04-21,,,,2023-04-21,42.926454789327,333260900.0,11.45,2023-02-27,2023-03-15,37 days,1,2021-12-31,55.6
523,688283,2022-12-31,1815,坤恒顺维,2023-04-18,,,,2023-04-18,60.22617607455,81260276.31,10.92,2023-02-20,2023-03-15,34 days,1,2021-12-31,32.61
526,688287,2022-12-31,3390,观典防务,2023-04-26,,,,2023-04-26,20.320136565041,86976900.0,9.04,2023-02-28,2023-03-15,42 days,1,2021-12-31,7.91
529,688290,2022-12-31,252,景业智能,2023-03-21,,,,2023-03-21,59.238883587724,121655800.0,15.48,2023-02-28,2023-03-15,6 days,3,2021-12-31,28.08
532,688293,2022-12-31,746,奥浦迈,2023-03-30,,,,2023-03-30,74.470890897345,105369365.72,9.39,2023-02-24,2023-03-15,15 days,2,2021-12-31,11.44
533,688295,2022-12-31,286,中复神鹰,2023-03-22,,,,2023-03-22,117.093438442253,605083700.0,16.71,2023-02-24,2023-03-15,7 days,3,2021-12-31,25.43
535,688297,2022-12-31,141,中无人机,2023-03-15,2023-04-29,,,2023-04-29,23.149472214905,364197200.0,10.54,2023-01-14,2023-03-15,0 days,1,2021-12-31,30.88
537,688301,2022-12-31,4867,奕瑞科技,2023-04-29,2023-03-17,,,2023-03-17,32.48926822364,641300445.36,19.25,2023-02-24,2023-03-15,45 days,1,2021-12-31,17.11
539,688303,2022-12-31,159,大全能源,2023-03-16,,,,2023-03-16,234.047471328002,19120350800.0,61.68,2023-02-28,2023-03-15,1 days,3,2021-12-31,55.94
544,688309,2022-12-31,747,恒誉环保,2023-03-30,,,,2023-03-30,254.491763167331,14648600.0,2.08,2023-02-28,2023-03-15,15 days,2,2021-12-31,-1.34
548,688313,2022-12-31,2512,仕佳光子,2023-04-22,,,,2023-04-22,31.90043895846,66166800.0,5.47,2023-02-18,2023-03-15,38 days,1,2021-12-31,4.26
560,688326,2022-12-31,4869,经纬恒润,2023-04-29,2023-04-27,,,2023-04-27,63.257546996217,238661800.0,5.98,2023-02-28,2023-03-15,45 days,1,2021-12-31,10.29
566,688333,2022-12-31,1084,铂力特,2023-03-31,,,,2023-03-31,246.588625939162,78139800.0,5.55,2023-02-24,2023-03-15,16 days,2,2021-12-31,-4.38
567,688336,2022-12-31,287,三生国健,2023-03-22,,,,2023-03-22,167.295733311183,48269600.0,1.06,2023-02-25,2023-03-15,7 days,3,2021-12-31,0.4
568,688337,2022-12-31,583,普源精电,2023-03-29,,,,2023-03-29,2472.42732893758,92470100.0,4.78,2023-02-28,2023-03-15,14 days,2,2021-12-31,-0.55
572,688348,2022-12-31,2051,昱能科技,2023-04-20,2023-04-26,,,2023-04-26,235.970152154058,345787200.0,28.17,2023-02-28,2023-03-15,36 days,1,2021-12-31,42.58
574,688350,2022-12-31,2052,富淼科技,2023-04-20,,,,2023-04-20,27.037073986673,136251200.0,9.75,2023-02-28,2023-03-15,36 days,1,2021-12-31,8.11
575,688351,2022-12-31,584,微电生理,2023-03-29,,,,2023-03-29,124.818152209315,2971800.0,0.31,2023-02-18,2023-03-15,14 days,2,2021-12-31,-2.05
583,688363,2022-12-31,1087,华熙生物,2023-03-31,,,,2023-03-31,24.002419538321,970113800.0,15.73,2023-02-28,2023-03-15,16 days,2,2021-12-31,14.6
591,688372,2022-12-31,2274,伟测科技,2023-04-21,,,,2023-04-21,89.119398739253,249969700.0,20.32,2023-02-28,2023-03-15,37 days,1,2021-12-31,18.04
593,688375,2022-12-31,1088,国博电子,2023-03-31,2023-04-12,,,2023-04-12,41.400757775984,520587810.56,13.29,2023-02-28,2023-03-15,16 days,2,2021-12-31,15.57
595,688377,2022-12-31,2275,迪威尔,2023-04-21,,,,2023-04-21,289.501234874726,125378500.0,8.19,2023-02-28,2023-03-15,37 days,1,2021-12-31,2.13
601,688385,2022-12-31,288,复旦微电,2023-03-22,,,,2023-03-22,109.884078039632,1079783900.0,28.55,2023-02-28,2023-03-15,7 days,3,2021-12-31,20.77
603,688387,2022-12-31,2054,信科移动,2023-04-20,,,,2023-04-20,43.458386735336,-669288900.0,-15.93,2023-02-28,2023-03-15,36 days,1,2021-12-31,-42.84
605,688389,2022-12-31,4326,普门科技,2023-04-28,,,,2023-04-28,31.009981239536,249373700.0,18.62,2023-02-11,2023-03-15,44 days,1,2021-12-31,16.08
606,688390,2022-12-31,3826,固德威,2023-04-27,,,,2023-04-27,133.352688728302,652302438.53,33.38,2023-02-28,2023-03-15,43 days,1,2021-12-31,18.12
607,688391,2022-12-31,4873,钜泉科技,2023-04-29,,,,2023-04-29,97.283895584666,200043700.0,25.68,2023-02-28,2023-03-15,45 days,1,2021-12-31,38.67
608,688392,2022-12-31,3399,骄成超声,2023-04-26,,,,2023-04-26,59.222458398073,110264100.0,15.11,2023-02-28,2023-03-15,42 days,1,2021-12-31,31.3
613,688399,2022-12-31,3827,硕世生物,2023-04-27,,,,2023-04-27,57.025255228671,1873647800.0,56.57,2023-02-28,2023-03-15,43 days,1,2021-12-31,56.81
615,688401,2022-12-31,2991,路维光电,2023-04-25,,,,2023-04-25,130.311778290993,120467800.0,15.51,2023-02-24,2023-03-15,41 days,1,2021-12-31,11.98
616,688403,2022-12-31,2278,汇成股份,2023-04-21,,,,2023-04-21,26.347401833832,177288400.0,9.19,2023-02-28,2023-03-15,37 days,1,2021-12-31,10.71
617,688408,2022-12-31,2055,中信博,2023-04-20,2023-04-28,,,2023-04-28,191.035303978766,43749300.0,1.77,2023-02-28,2023-03-15,36 days,1,2021-12-31,0.61
618,688409,2022-12-31,3828,富创精密,2023-04-27,,,,2023-04-27,89.714669251287,239973500.0,11.9,2023-02-27,2023-03-15,43 days,1,2021-12-31,12.9
619,688410,2022-12-31,1135,山外山,2023-04-03,,,,2023-04-03,200.286177291213,58475688.55,13.97,2023-02-27,2023-03-15,19 days,2,2021-12-31,5.2
623,688420,2022-12-31,1163,美腾科技,2023-04-06,,,,2023-04-06,45.029833102177,124645600.0,30.59,2023-02-25,2023-03-15,22 days,1,2021-12-31,29.77
625,688426,2022-12-31,3401,康为世纪,2023-04-26,,,,2023-04-26,24.624982319857,156837300.0,19.55,2023-02-28,2023-03-15,42 days,1,2021-12-31,26.39
626,688432,2022-12-31,748,有研硅,2023-03-30,,,,2023-03-30,136.800585589168,351325400.0,14.71,2023-02-14,2023-03-15,15 days,2,2021-12-31,9.21
628,688439,2022-12-31,1437,振华风光,2023-04-12,,,,2023-04-12,71.269972524973,303018200.0,16.32,2023-02-24,2023-03-15,28 days,1,2021-12-31,35.7
632,688459,2022-12-31,1291,哈铁科技,2023-04-10,2023-04-19,,,2023-04-19,32.430395597705,115274700.0,4.77,2023-02-18,2023-03-15,26 days,1,2021-12-31,6.15
633,688466,2022-12-31,4330,金科环境,2023-04-28,,,,2023-04-28,30.711896077877,81424100.0,7.71,2023-02-17,2023-03-15,44 days,1,2021-12-31,6.27
636,688480,2022-12-31,2992,赛恩斯,2023-04-25,,,,2023-04-25,53.157573965027,68353000.0,14.19,2023-02-24,2023-03-15,41 days,1,2021-12-31,11.45
640,688489,2022-12-31,515,三未信安,2023-03-28,,,,2023-03-28,41.512897097668,105703200.0,19.07,2023-02-24,2023-03-15,13 days,2,2021-12-31,22.03
643,688499,2022-12-31,4332,利元亨,2023-04-28,,,,2023-04-28,51.086602796227,320811400.0,14.99,2023-02-28,2023-03-15,44 days,1,2021-12-31,13.76
646,688503,2022-12-31,2058,聚和材料,2023-04-20,,,,2023-04-20,58.559100300363,391285958.89,27.34,2023-02-28,2023-03-15,36 days,1,2021-12-31,22.19
654,688516,2022-12-31,4333,奥特维,2023-04-28,,,,2023-04-28,88.290364329748,698038700.0,37.11,2023-02-28,2023-03-15,44 days,1,2021-12-31,29.77
656,688518,2022-12-31,2280,联赢激光,2023-04-21,,,,2023-04-21,198.63550554764,274780800.0,16.62,2023-02-28,2023-03-15,37 days,1,2021-12-31,6.25
657,688520,2022-12-31,3408,神州细胞,2023-04-26,,,,2023-04-26,40.128575789184,-518995800.0,,2023-02-24,2023-03-15,42 days,1,2021-12-31,0.0
658,688521,2022-12-31,3409,芯原股份,2023-04-26,2023-03-25,,,2023-03-25,455.312058018116,73814300.0,2.62,2023-02-24,2023-03-15,42 days,1,2021-12-31,0.5
662,688529,2022-12-31,4875,豪森股份,2023-04-29,2023-04-26,,,2023-04-26,36.789269001698,95980701.28,8.36,2023-02-28,2023-03-15,45 days,1,2021-12-31,6.59
663,688533,2022-12-31,4335,上声电子,2023-04-28,,,,2023-04-28,41.513641998101,85850100.0,7.99,2023-02-28,2023-03-15,44 days,1,2021-12-31,6.63
669,688556,2022-12-31,4336,高测股份,2023-04-28,2023-04-04,,,2023-04-04,356.657882411014,788612023.43,49.51,2023-02-28,2023-03-15,44 days,1,2021-12-31,16.22
672,688559,2022-12-31,4337,海目星,2023-04-28,,,,2023-04-28,249.464600424289,381513300.0,20.98,2023-02-28,2023-03-15,44 days,1,2021-12-31,7.61
675,688566,2022-12-31,4338,吉贝尔,2023-04-28,,,,2023-04-28,33.914791233136,153869893.79,9.25,2023-02-28,2023-03-15,44 days,1,2021-12-31,7.22
678,688569,2022-12-31,179,铁科轨道,2023-03-17,,,,2023-03-17,40.992704935254,236892700.0,9.81,2023-02-28,2023-03-15,2 days,3,2021-12-31,7.47
680,688575,2022-12-31,4878,亚辉龙,2023-04-29,,,,2023-04-29,398.270114033083,1020196100.0,52.65,2023-02-28,2023-03-15,45 days,1,2021-12-31,17.21
682,688578,2022-12-31,1667,艾力斯,2023-04-15,2023-04-27,,,2023-04-27,627.683779672332,132981300.0,4.32,2023-02-28,2023-03-15,31 days,1,2021-12-31,0.62
685,688585,2022-12-31,1093,上纬新材,2023-03-31,,,,2023-03-31,568.918918918919,84150000.0,7.69,2023-02-28,2023-03-15,16 days,2,2021-12-31,1.19
688,688589,2022-12-31,309,力合微,2023-03-23,,,,2023-03-23,80.972612418019,76076000.0,9.76,2023-02-28,2023-03-15,8 days,3,2021-12-31,5.74
689,688596,2022-12-31,2993,正帆科技,2023-04-25,,,,2023-04-25,53.490856446567,258482900.0,12.89,2023-02-14,2023-03-15,41 days,1,2021-12-31,9.37
690,688597,2022-12-31,36,煜邦电力,2023-02-28,2023-03-16,,,2023-03-16,118.202215639419,79258900.0,9.69,2023-02-28,2023-03-15,-15 days,1,2021-12-31,5.46
692,688599,2022-12-31,4879,天合光能,2023-04-29,2023-04-25,,,2023-04-25,105.684646822246,3711027600.0,16.28,2023-02-24,2023-03-15,45 days,1,2021-12-31,11.27
695,688606,2022-12-31,4881,奥泰生物,2023-04-29,,,,2023-04-29,69.733490977863,1299630500.0,34.22,2023-02-28,2023-03-15,45 days,1,2021-12-31,30.22
702,688617,2022-12-31,1206,惠泰医疗,2023-04-07,,,,2023-04-07,71.885754733338,357386744.25,20.04,2023-02-24,2023-03-15,23 days,1,2021-12-31,13.05
703,688618,2022-12-31,586,三旺通信,2023-03-29,,,,2023-03-29,59.405001975128,96316286.5,12.83,2023-02-28,2023-03-15,14 days,2,2021-12-31,8.74
705,688621,2022-12-31,101,阳光诺和,2023-03-11,,,,2023-03-11,49.796143188116,158278200.0,19.14,2023-02-10,2023-03-15,-4 days,1,2021-12-31,22.22
707,688625,2022-12-31,2994,呈和科技,2023-04-25,,,,2023-04-25,24.959966977662,196220874.9,19.95,2023-02-28,2023-03-15,41 days,1,2021-12-31,25.68
710,688630,2022-12-31,2061,芯碁微装,2023-04-20,,,,2023-04-20,28.721097528534,136646827.34,13.64,2023-02-25,2023-03-15,36 days,1,2021-12-31,13.72
713,688639,2022-12-31,3416,华恒生物,2023-04-26,,,,2023-04-26,89.592862386357,318962500.0,24.05,2023-02-28,2023-03-15,42 days,1,2021-12-31,18.12
723,688668,2022-12-31,3419,鼎通科技,2023-04-26,2023-04-19,,,2023-04-19,53.95975820554,168401738.35,19.65,2023-02-28,2023-03-15,42 days,1,2021-12-31,14.32
726,688676,2022-12-31,253,金盘科技,2023-03-21,,,,2023-03-21,20.379733131473,282431800.0,10.83,2023-02-27,2023-03-15,6 days,3,2021-12-31,10.29
727,688677,2022-12-31,2284,海泰新光,2023-04-21,,,,2023-04-21,55.028081229342,182515328.49,15.86,2023-02-25,2023-03-15,37 days,1,2021-12-31,12.66
737,688690,2022-12-31,3421,纳微科技,2023-04-26,,,,2023-04-26,46.411898152849,275385700.0,21.66,2023-02-28,2023-03-15,42 days,1,2021-12-31,23.84
739,688697,2022-12-31,1669,纽威数控,2023-04-15,,,,2023-04-15,53.739537549827,259116488.24,19.49,2023-02-28,2023-03-15,31 days,1,2021-12-31,23.19
742,688700,2022-12-31,4885,东威科技,2023-04-29,2023-04-08,,,2023-04-08,34.302285828658,216063100.0,25.39,2023-01-12,2023-03-15,45 days,1,2021-12-31,27.48
744,688707,2022-12-31,4351,振华新材,2023-04-28,,,,2023-04-28,208.367581303178,1272260500.0,36.36,2023-02-25,2023-03-15,44 days,1,2021-12-31,21.74
747,688722,2022-12-31,1095,同益中,2023-03-31,,,,2023-03-31,226.743882774678,171631700.0,15.79,2023-02-23,2023-03-15,16 days,2,2021-12-31,6.69
749,688733,2022-12-31,749,壹石通,2023-03-30,,,,2023-03-30,35.848395736257,146995300.0,9.72,2023-02-28,2023-03-15,15 days,2,2021-12-31,14.43
754,688768,2022-12-31,3834,容知日新,2023-04-27,2023-04-11,,,2023-04-11,42.602187467302,115843600.0,16.69,2023-02-23,2023-03-15,43 days,1,2021-12-31,16.94
757,688777,2022-12-31,3835,中控技术,2023-04-27,,,,2023-04-27,36.765539190269,795517000.0,16.39,2023-02-24,2023-03-15,43 days,1,2021-12-31,13.79
758,688779,2022-12-31,2997,长远锂科,2023-04-25,,,,2023-04-25,112.591280881069,1489498700.0,20.69,2023-02-28,2023-03-15,41 days,1,2021-12-31,15.89
765,688800,2022-12-31,1356,瑞可达,2023-04-11,,,,2023-04-11,123.751229536991,254772100.0,20.03,2023-02-28,2023-03-15,27 days,1,2021-12-31,15.46
766,688819,2022-12-31,416,天能股份,2023-03-25,,,,2023-03-25,38.91675986066,1902278600.0,14.64,2023-02-28,2023-03-15,10 days,3,2021-12-31,11.98
