,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
83,002519,2022-12-31,639,银河电子,2023-03-30,,,,2023-03-30,1263.96052639407,195776156.13,6.55,2023-02-28,2023-03-15,15 days,2,2021-12-31,0.5
86,002562,2022-12-31,826,兄弟科技,2023-03-31,,,,2023-03-31,963.955491598105,301446333.09,9.43,2023-03-13,2023-03-15,16 days,2,2021-12-31,0.94
88,002608,2022-12-31,3975,江苏国信,2023-04-28,,,,2023-04-28,121.382573485799,71126800.0,0.25,2023-02-28,2023-03-15,44 days,1,2021-12-31,-1.15
90,002669,2022-12-31,1562,康达新材,2023-04-15,,,,2023-04-15,125.297382741638,49556207.49,2.17,2023-03-13,2023-03-15,31 days,1,2021-12-31,0.96
92,002705,2022-12-31,3991,新宝股份,2023-04-28,,,,2023-04-28,20.96858804587,958619129.7,14.69,2023-02-28,2023-03-15,44 days,1,2021-12-31,12.87
93,002709,2022-12-31,2697,天赐材料,2023-04-25,2023-04-11,,,2023-04-11,159.155906987393,5723036300.0,59.17,2023-03-13,2023-03-15,41 days,1,2021-12-31,40.92
95,002756,2022-12-31,218,永兴材料,2023-03-21,,,,2023-03-21,612.419884990602,6319744372.08,74.72,2023-03-13,2023-03-15,6 days,3,2021-12-31,19.34
97,002790,2022-12-31,1718,瑞尔特,2023-04-18,,,,2023-04-18,49.122044537373,207822125.82,11.28,2023-02-08,2023-03-15,34 days,1,2021-12-31,8.05
99,002807,2022-12-31,648,江阴银行,2023-03-30,2023-03-28,,,2023-03-28,26.881548885522,1616077600.0,11.89,2023-01-18,2023-03-15,15 days,2,2021-12-31,10.15
103,002819,2022-12-31,4563,东方中科,2023-04-29,2023-04-12,,,2023-04-12,406.67036350211,870757100.0,20.41,2023-03-14,2023-03-15,45 days,1,2021-12-31,18.5
104,002839,2022-12-31,453,张家港行,2023-03-28,,,,2023-03-28,29.500003403705,1688485300.0,12.21,2023-01-17,2023-03-15,13 days,2,2021-12-31,11.08
105,002841,2022-12-31,3067,视源股份,2023-04-26,,,,2023-04-26,21.797938180737,2069328700.0,20.68,2023-01-18,2023-03-15,42 days,1,2021-12-31,21.84
106,002847,2022-12-31,839,盐津铺子,2023-03-31,2023-04-15,,,2023-04-15,99.859692278299,301268700.0,30.3,2023-02-28,2023-03-15,16 days,2,2021-12-31,18.14
107,002865,2022-12-31,166,钧达股份,2023-03-17,,,,2023-03-17,501.437287637792,717110266.16,65.0,2023-03-11,2023-03-15,2 days,3,2021-12-31,-17.9
108,002877,2022-12-31,2521,智能自控,2023-04-24,,,,2023-04-24,33.224997577719,84295441.26,9.54,2023-02-24,2023-03-15,40 days,1,2021-12-31,7.71
109,002885,2022-12-31,2335,京泉华,2023-04-22,,,,2023-04-22,623.40189579643,144161700.0,16.3,2023-03-03,2023-03-15,38 days,1,2021-12-31,2.47
111,002908,2022-12-31,1833,德生科技,2023-04-19,,,,2023-04-19,25.138948587632,114558932.72,10.98,2023-01-31,2023-03-15,35 days,1,2021-12-31,11.21
113,002938,2022-12-31,540,鹏鼎控股,2023-03-29,,,,2023-03-29,51.073932929632,5011536600.0,19.37,2023-03-14,2023-03-15,14 days,2,2021-12-31,14.68
114,002941,2022-12-31,4024,新疆交建,2023-04-28,,,,2023-04-28,40.511784888162,355189118.37,12.73,2023-02-22,2023-03-15,44 days,1,2021-12-31,9.93
115,002943,2022-12-31,653,宇晶股份,2023-03-30,,,,2023-03-30,1537.68292353942,97271137.69,11.96,2023-03-13,2023-03-15,15 days,2,2021-12-31,-0.88
116,002947,2022-12-31,145,恒铭达,2023-03-16,,,,2023-03-16,517.428671954964,193032900.0,10.91,2023-03-13,2023-03-15,1 days,3,2021-12-31,2.19
117,002959,2022-12-31,1173,小熊电器,2023-04-07,,,,2023-04-07,31.206049141334,371836500.0,16.9,2023-02-17,2023-03-15,23 days,1,2021-12-31,14.13
118,002966,2022-12-31,2710,苏州银行,2023-04-25,,,,2023-04-25,26.114966590882,3918000000.0,11.52,2023-01-30,2023-03-15,41 days,1,2021-12-31,9.96
120,002986,2022-12-31,1281,宇新股份,2023-04-10,,,,2023-04-10,205.478882075556,430703396.68,0.19,2023-03-13,2023-03-15,26 days,1,2021-12-31,7.15
125,003040,2022-12-31,846,楚天龙,2023-03-31,,,,2023-03-31,162.365327485306,164620600.0,11.37,2023-03-13,2023-03-15,16 days,2,2021-12-31,4.87
126,300002,2022-12-31,2522,神州泰岳,2023-04-24,2023-04-27,,,2023-04-27,42.537264912987,548080300.0,11.92,2023-02-25,2023-03-15,40 days,1,2021-12-31,9.35
127,300012,2022-12-31,2721,华测检测,2023-04-25,,,,2023-04-25,20.925766426043,902332275.9,18.17,2023-02-28,2023-03-15,41 days,1,2021-12-31,18.17
128,300014,2022-12-31,1725,亿纬锂能,2023-04-18,,,,2023-04-18,20.790755597207,3509929200.0,17.46,2023-03-14,2023-03-15,34 days,1,2021-12-31,18.11
131,300037,2022-12-31,459,新宙邦,2023-03-28,,,,2023-03-28,34.75819142805,1760804107.56,23.48,2023-01-19,2023-03-15,13 days,2,2021-12-31,22.43
133,300057,2022-12-31,1318,万顺新材,2023-04-11,,,,2023-04-11,565.755092101433,204670296.88,5.37,2023-02-28,2023-03-15,27 days,1,2021-12-31,-1.24
134,300087,2022-12-31,660,荃银高科,2023-03-30,2023-03-18,,,2023-03-18,38.051143401276,233369014.01,15.76,2023-02-17,2023-03-15,15 days,2,2021-12-31,18.22
135,300109,2022-12-31,3535,新开源,2023-04-27,,,,2023-04-27,50.458065667242,311519981.34,9.92,2023-03-02,2023-03-15,43 days,1,2021-12-31,6.46
137,300115,2022-12-31,853,长盈精密,2023-03-31,,,,2023-03-31,107.060188770608,42685669.92,0.75,2023-02-27,2023-03-15,16 days,2,2021-12-31,-9.53
140,300130,2022-12-31,854,新国都,2023-03-31,2023-04-28,,,2023-04-28,47.798130345581,296583700.0,10.67,2023-03-13,2023-03-15,16 days,2,2021-12-31,8.11
141,300138,2022-12-31,460,晨光生物,2023-03-28,,,,2023-03-28,23.941635156226,435672730.84,14.65,2023-02-28,2023-03-15,13 days,2,2021-12-31,13.58
142,300160,2022-12-31,1175,秀强股份,2023-04-07,2023-04-12,,,2023-04-12,33.336456068529,182676614.4,14.6,2023-02-28,2023-03-15,23 days,1,2021-12-31,12.5
144,300224,2022-12-31,462,正海磁材,2023-03-28,,,,2023-03-28,52.316202202064,403700838.68,13.28,2023-03-13,2023-03-15,13 days,2,2021-12-31,9.94
146,300257,2022-12-31,2114,开山股份,2023-04-21,,,,2023-04-21,36.052881089343,413120900.0,7.77,2023-03-13,2023-03-15,37 days,1,2021-12-31,6.29
147,300260,2022-12-31,3558,新莱应材,2023-04-27,,,,2023-04-27,106.107965284165,349994271.65,24.13,2023-02-28,2023-03-15,43 days,1,2021-12-31,14.28
151,300294,2022-12-31,375,博雅生物,2023-03-25,,,,2023-03-25,25.445927628734,432197600.0,6.18,2023-03-13,2023-03-15,10 days,3,2021-12-31,7.83
153,300308,2022-12-31,2542,中际旭创,2023-04-24,,,,2023-04-24,40.924488763581,1235875531.84,10.38,2023-02-28,2023-03-15,40 days,1,2021-12-31,9.98
154,300338,2022-12-31,2756,ST开元,2023-04-25,,,,2023-04-25,107.51037123768,34605500.0,60.09,2023-02-28,2023-03-15,41 days,1,2021-12-31,-171.8
