,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
2,000166,2023-03-31,3668,申万宏源,2023-04-29,,,,2023-04-29,87.768140440409,2010990400.0,2023-04-15,2023-07-25,-87 days
7,000686,2023-03-31,2434,东北证券,2023-04-28,,,,2023-04-28,245.928392067441,378092000.0,2023-04-15,2023-07-25,-88 days
25,300824,2023-06-30,1405,北鼎股份,2023-08-24,2023-08-18,,,,66.758979448959,37634500.0,2023-07-19,2023-07-25,30 days
32,600267,2023-03-31,946,海正药业,2023-04-25,,,,2023-04-25,71.909171101941,232298800.0,2023-04-20,2023-07-25,-91 days
34,600428,2023-06-30,4127,中远海特,2023-08-30,,,,,91.659045888503,643409000.0,2023-07-06,2023-07-25,36 days
39,600909,2023-03-31,3224,华安证券,2023-04-28,,,,2023-04-28,242.382749436205,364221044.69,2023-04-22,2023-07-25,-88 days
41,600958,2023-03-31,3231,东方证券,2023-04-28,,,,2023-04-28,525.670691795904,1428089600.0,2023-04-10,2023-07-25,-88 days
42,601066,2023-03-31,3250,中信建投,2023-04-28,,,,2023-04-28,57.782592056872,2432550000.0,2023-04-24,2023-07-25,-88 days
47,601555,2023-03-31,4539,东吴证券,2023-04-29,,,,2023-04-29,412.836672538602,583119400.0,2023-04-21,2023-07-25,-87 days
53,601958,2023-06-30,824,金钼股份,2023-08-19,,,,,117.151294025578,1443994000.0,2023-07-20,2023-07-25,25 days
58,603093,2023-03-31,995,南华期货,2023-04-25,,,,2023-04-25,121.742920165078,62327500.0,2023-04-13,2023-07-25,-91 days
60,603551,2023-03-31,350,奥普家居,2023-04-21,,,,2023-04-21,115.242219550972,59974079.75,2023-04-10,2023-07-25,-95 days
61,603619,2023-03-31,4708,中曼石油,2023-04-29,2023-04-28,,,2023-04-28,193.398355025982,212611631.27,2023-04-20,2023-07-25,-87 days
