,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance
3,000670,2022-06-30,3445,盈方微,2022-08-30,2022-07-26,2022-07-28,,2022-07-28,657.604179418642,5741799.8,2022-07-27,2022-09-05,-6 days
7,002192,2022-06-30,1151,融捷股份,2022-08-23,,,,2022-08-23,4445.20144185841,576227116.37,2022-08-05,2022-09-05,-13 days
8,002258,2022-06-30,160,利尔化学,2022-08-06,2022-08-09,,,2022-08-09,107.443718062641,1047493900.0,2022-07-07,2022-09-05,-30 days
26,301269,2022-06-30,3849,华大九天,2022-08-30,2022-08-25,,,2022-08-25,102.84500556683,40000000.0,2022-07-25,2022-09-05,-6 days
30,600063,2022-06-30,778,皖维高新,2022-08-19,,,,2022-08-19,100.126436587517,959980700.0,2022-07-23,2022-09-05,-17 days
32,600111,2022-06-30,2371,北方稀土,2022-08-26,,,,2022-08-26,52.159736839352,3097676900.0,2022-07-22,2022-09-05,-10 days
33,600233,2022-06-30,2389,圆通速递,2022-08-26,,,,2022-08-26,174.24392737242,1770580500.0,2022-07-08,2022-09-05,-10 days
35,600328,2022-06-30,783,中盐化工,2022-08-19,,,,2022-08-19,81.292272231971,1394385400.0,2022-07-22,2022-09-05,-17 days
36,600497,2022-06-30,2411,驰宏锌锗,2022-08-26,,,,2022-08-26,70.252007998,1016743800.0,2022-07-22,2022-09-05,-10 days
40,600821,2022-06-30,4501,金开新能,2022-08-31,,,,2022-08-31,58.937203362892,348000000.0,2022-07-22,2022-09-05,-5 days
41,600863,2022-06-30,1863,内蒙华电,2022-08-25,,,,2022-08-25,142.009000168053,1166461600.0,2022-07-22,2022-09-05,-11 days
44,601068,2022-06-30,208,中铝国际,2022-08-09,,,,2022-08-09,1871.07052362785,66343416.18,2022-07-22,2022-09-05,-27 days
50,601975,2022-06-30,4585,招商南油,2022-08-31,2022-08-18,,,2022-08-18,107.914147688451,432787086.76,2022-07-22,2022-09-05,-5 days
52,603088,2022-06-30,2521,宁波精达,2022-08-26,,,,2022-08-26,90.295760382,65756700.0,2022-07-22,2022-09-05,-10 days
53,603200,2022-06-30,121,上海洗霸,2022-08-02,,,,2022-08-02,171.510133021359,50480039.28,2022-07-22,2022-09-05,-34 days
55,603456,2022-06-30,149,九洲药业,2022-08-05,,,,2022-08-05,69.687996885427,466365400.0,2022-07-22,2022-09-05,-31 days
58,603813,2022-06-30,535,原尚股份,2022-08-17,,,,2022-08-17,129.187198920103,24058931.18,2022-07-22,2022-09-05,-19 days
62,605123,2022-06-30,4668,派克新材,2022-08-31,,,,2022-08-31,62.348915290747,229261445.53,2022-07-22,2022-09-05,-5 days
64,605169,2022-06-30,669,洪通燃气,2022-08-18,,,,2022-08-18,54.012884102152,113026804.6,2022-08-02,2022-09-05,-18 days
65,688239,2022-06-30,4701,航宇科技,2022-08-31,,,,2022-08-31,51.268051248822,93614200.0,2022-08-27,2022-09-05,-5 days
