trddt,0
2023-01-03,1000000.0
2023-01-04,1011139.9983901854
2023-01-05,1004622.0151678903
2023-01-06,1017866.8868213971
2023-01-09,1038712.2023158483
2023-01-10,1054380.5360469196
2023-01-11,1050510.3988799409
2023-01-12,1067583.576377222
2023-01-13,1078180.7710857359
2023-01-16,1119255.1048579125
2023-01-17,1133377.7470388922
2023-01-18,1140919.074205863
2023-01-19,1113292.5000397596
2023-01-20,1120157.8019483679
2023-01-30,1177044.909992232
2023-01-31,1238658.5513879468
2023-02-01,1302061.5796512829
2023-02-02,1297191.591472874
2023-02-03,1299941.3234577028
2023-02-06,1347063.3948372283
2023-02-07,1416698.8669034028
2023-02-08,1401267.5708702672
2023-02-09,1431642.8845385124
2023-02-10,1410842.1653565078
2023-02-13,1447434.8386255386
2023-02-14,1455122.3284676168
2023-02-15,1470553.5331942167
2023-02-16,1426105.114526262
2023-02-17,1421029.4477754207
2023-02-20,1425523.474602397
2023-02-21,1422540.2064077337
2023-02-22,1446145.2978907726
2023-02-23,1446817.6495914874
2023-02-24,1421496.985846638
2023-02-27,1413518.2873386384
2023-02-28,1442525.1756384005
2023-03-01,1487677.5208484114
2023-03-02,1502353.532797012
2023-03-03,1481498.2270251673
2023-03-06,1500887.5897863563
2023-03-07,1518939.9044549172
2023-03-08,1588396.8951095722
2023-03-09,1658514.908639761
2023-03-10,1645945.9354895002
2023-03-13,1624395.940352984
2023-03-14,1605221.0088239762
2023-03-15,1628829.0988858643
2023-03-16,1639638.4499930264
2023-03-17,1705043.2759441584
2023-03-20,1714003.3465887532
2023-03-21,1748878.7106124829
2023-03-22,1754663.089685932
2023-03-23,1777681.983489947
2023-03-24,1784406.2781206688
2023-03-27,1879950.3713955681
2023-03-28,1826655.1190151398
2023-03-29,1805994.5018722233
2023-03-30,1783555.355442891
2023-03-31,1768485.8383410356
2023-04-03,1853499.538617499
2023-04-04,1881442.9216757882
2023-04-06,1966380.8095577427
2023-04-07,1965950.5732359365
2023-04-10,1936622.5480234374
2023-04-11,1963790.3302271091
2023-04-12,2014638.676440165
2023-04-13,2001541.9429504618
2023-04-14,2004600.2063699441
2023-04-17,1996286.1728430972
2023-04-18,1955293.1681844133
2023-04-19,2003429.410673516
2023-04-20,2078166.7237014214
2023-04-21,2067919.6348847046
2023-04-24,2126510.726935961
2023-04-25,2116822.191686377
2023-04-26,2192396.5398963965
2023-04-27,2214235.884876069
2023-04-28,2275416.362552556
2023-05-04,2407401.9388484433
2023-05-05,2396549.5136814616
2023-05-08,2470530.204793619
2023-05-09,2437436.882435308
2023-05-10,2379730.319159544
2023-05-11,2428224.775754527
2023-05-12,2350171.6881909384
2023-05-15,2333313.100858857
2023-05-16,2373207.888126694
2023-05-17,2443319.768215487
2023-05-18,2464832.7067731004
2023-05-19,2423103.3137583286
2023-05-22,2443213.844824614
2023-05-23,2472052.4661907842
2023-05-24,2549670.0568623533
2023-05-25,2641802.4966449416
2023-05-26,2577034.461700044
2023-05-29,2610041.2260111254
2023-05-30,2732103.3507915405
2023-05-31,2734678.3761779345
2023-06-01,2712202.404133337
2023-06-02,2730840.4015139844
2023-06-05,2693311.607160006
2023-06-06,2743703.492943458
2023-06-07,2810777.810604508
2023-06-08,2843887.457096091
2023-06-09,2832662.379386247
2023-06-12,2889065.6718962267
2023-06-13,2935410.0277662557
2023-06-14,2927413.1588982474
2023-06-15,2878042.198911651
2023-06-16,2922473.5206677658
2023-06-19,3067603.814700247
2023-06-20,3072288.123300534
2023-06-21,3043951.9858731884
2023-06-26,3090359.6726149563
2023-06-27,3129244.2379731643
2023-06-28,3107353.365185087
2023-06-29,3194727.364900115
2023-06-30,3179142.3367739636
2023-07-03,3218928.68831404
2023-07-04,3263909.8595058713
2023-07-05,3255035.3637100626
2023-07-06,3340226.5616565594
2023-07-07,3382763.423477203
2023-07-10,3363910.5588189014
2023-07-11,3421954.4200418387
2023-07-12,3458718.607350806
2023-07-13,3463378.253541371
2023-07-14,3546387.740438562
2023-07-17,3540794.9842856564
2023-07-18,3477432.2816678775
2023-07-19,3506851.2306779525
2023-07-20,3554056.970151607
2023-07-21,3438898.814523326
2023-07-24,3401663.9490054594
2023-07-25,3508797.308074969
2023-07-26,3597075.906498984
2023-07-27,3551311.3693411094
2023-07-28,3550452.89760466
2023-07-31,3644224.261185242
2023-08-01,3589039.136625099
